,Name,rsx-qidh-DFT-forward,rsx-qidh-DFT-reverse,rsx-qidh-DFT-reaction
0,rxn_33,8.767,64.231,-55.464
1,rxn_53,16.885,67.951,-51.066
2,rxn_216,8.238,52.6,-44.362
3,rxn_365,24.292,74.601,-50.309
6,rxn_632,8.986,63.293,-54.307
10,rxn_721,13.487,69.032,-55.545
11,rxn_745,16.443,34.67,-18.227
12,rxn_769,19.807,36.649,-16.842
16,rxn_853,18.005,36.981,-18.976
18,rxn_971,20.151,47.689,-27.538
19,rxn_1000,28.468,41.84,-13.372
20,rxn_1017,22.439,40.331,-17.892
21,rxn_1024,12.817,37.035,-24.218
23,rxn_1093,18.458,40.168,-21.71
24,rxn_1181,15.801,38.698,-22.897
27,rxn_1248,19.171,38.261,-19.089
28,rxn_1285,20.503,45.576,-25.073
31,rxn_1394,14.215,36.591,-22.377
32,rxn_1424,17.402,40.079,-22.678
33,rxn_1441,23.946,42.763,-18.817
34,rxn_1463,6.065,61.131,-55.066
35,rxn_1466,2.686,60.655,-57.969
36,rxn_1479,15.389,68.018,-52.629
37,rxn_1480,7.5,59.802,-52.302
41,rxn_1536,8.336,56.242,-47.906
43,rxn_1708,11.506,58.841,-47.334
45,rxn_1779,9.68,56.579,-46.899
46,rxn_1814,7.609,62.039,-54.429
48,rxn_1919,10.883,55.026,-44.144
50,rxn_2012,9.203,59.97,-50.767
51,rxn_2211,18.028,68.505,-50.477
53,rxn_2270,4.342,61.015,-56.673
54,rxn_2310,13.675,64.957,-51.282
55,rxn_2334,8.239,64.202,-55.963
56,rxn_2468,16.331,62.135,-45.804
58,rxn_2482,7.27,62.525,-55.255
59,rxn_2517,14.615,63.267,-48.652
60,rxn_2530,8.899,64.101,-55.202
62,rxn_2645,7.13,61.594,-54.464
63,rxn_2672,5.95,63.653,-57.703
65,rxn_2720,2.242,61.394,-59.152
66,rxn_2890,8.13,62.713,-54.583
68,rxn_2972,21.218,55.995,-34.777
71,rxn_3225,9.142,55.393,-46.251
73,rxn_3483,15.309,50.716,-35.408
74,rxn_3536,15.127,52.545,-37.418
75,rxn_3759,-15.451,31.787,-47.237
79,rxn_4392,6.327,44.666,-38.339
80,rxn_4581,19.525,57.399,-37.874
81,rxn_4652,-9.392,48.34,-57.731
83,rxn_5129,-5.184,48.736,-53.92
84,rxn_5245,40.457,41.268,-0.812
85,rxn_5345,40.661,44.0,-3.339
86,rxn_5374,39.359,42.834,-3.475
88,rxn_5432,37.601,48.852,-11.251
89,rxn_5534,39.551,38.179,1.372
92,rxn_5590,34.825,44.875,-10.05
95,rxn_5751,32.661,47.6,-14.939
96,rxn_5756,37.24,55.46,-18.22
98,rxn_5854,35.837,49.853,-14.016
102,rxn_5956,46.407,66.922,-20.515
106,rxn_6105,42.786,54.476,-11.69
109,rxn_6178,45.897,66.038,-20.142
110,rxn_6180,31.465,43.862,-12.397
114,rxn_6322,61.783,66.099,-4.317
117,rxn_6410,24.185,30.093,-5.908
119,rxn_6583,45.293,46.971,-1.678
120,rxn_6612,25.031,26.644,-1.613
122,rxn_7236,26.101,40.875,-14.774
127,rxn_7911,29.475,82.527,-53.053
