,Name,pbe-qidh-DFT-forward,pbe-qidh-DFT-reverse,pbe-qidh-DFT-reaction
0,rxn_33,10.502,56.263,-45.761
1,rxn_53,18.437,60.04,-41.603
2,rxn_216,10.133,46.109,-35.977
3,rxn_365,24.995,65.841,-40.846
6,rxn_632,10.801,55.921,-45.12
10,rxn_721,14.346,60.981,-46.635
11,rxn_745,18.516,29.055,-10.539
12,rxn_769,21.804,30.632,-8.828
16,rxn_853,20.364,31.626,-11.262
18,rxn_971,22.005,42.353,-20.348
19,rxn_1000,30.877,36.354,-5.476
20,rxn_1017,25.305,34.964,-9.659
21,rxn_1024,14.337,31.774,-17.437
23,rxn_1093,21.556,34.378,-12.822
24,rxn_1181,17.283,33.547,-16.264
27,rxn_1248,22.109,32.777,-10.669
28,rxn_1285,21.972,40.409,-18.437
31,rxn_1394,16.023,30.952,-14.929
32,rxn_1424,20.548,34.357,-13.809
33,rxn_1441,26.15,37.156,-11.006
34,rxn_1463,8.161,56.738,-48.576
35,rxn_1466,4.612,56.253,-51.641
36,rxn_1479,17.075,62.488,-45.413
37,rxn_1480,9.472,54.996,-45.524
41,rxn_1536,9.074,48.771,-39.697
43,rxn_1708,11.989,51.041,-39.052
45,rxn_1779,10.341,48.917,-38.576
46,rxn_1814,8.365,55.259,-46.894
48,rxn_1919,10.903,46.766,-35.863
50,rxn_2012,10.16,53.058,-42.897
51,rxn_2211,18.609,61.438,-42.828
53,rxn_2270,6.957,54.907,-47.95
54,rxn_2310,14.399,57.515,-43.116
55,rxn_2334,10.087,57.681,-47.594
56,rxn_2468,17.946,55.565,-37.619
58,rxn_2482,9.308,56.306,-46.998
59,rxn_2517,16.048,56.503,-40.455
60,rxn_2530,10.817,57.559,-46.743
62,rxn_2645,8.808,55.124,-46.316
63,rxn_2672,7.921,57.418,-49.497
65,rxn_2720,4.407,55.636,-51.229
66,rxn_2890,9.216,55.95,-46.734
68,rxn_2972,23.534,49.046,-25.511
71,rxn_3225,11.398,48.767,-37.369
73,rxn_3483,18.167,44.251,-26.084
74,rxn_3536,17.688,45.234,-27.546
75,rxn_3759,-10.515,28.206,-38.721
79,rxn_4392,7.804,36.588,-28.784
80,rxn_4581,21.048,49.053,-28.005
81,rxn_4652,-7.432,41.317,-48.748
83,rxn_5129,-3.35,40.801,-44.151
84,rxn_5245,35.415,36.622,-1.208
85,rxn_5345,36.047,39.862,-3.815
86,rxn_5374,34.918,38.425,-3.508
88,rxn_5432,33.311,45.343,-12.032
89,rxn_5534,36.66,35.431,1.229
92,rxn_5590,30.398,39.996,-9.599
95,rxn_5751,28.177,42.683,-14.507
96,rxn_5756,32.488,50.123,-17.636
98,rxn_5854,30.723,44.369,-13.646
102,rxn_5956,40.942,61.364,-20.421
106,rxn_6105,38.083,48.943,-10.86
109,rxn_6178,39.906,59.632,-19.726
110,rxn_6180,27.264,38.743,-11.48
114,rxn_6322,58.693,59.499,-0.806
117,rxn_6410,25.078,24.234,0.844
119,rxn_6583,45.042,40.097,4.945
120,rxn_6612,25.283,22.033,3.25
122,rxn_7236,26.758,35.028,-8.27
127,rxn_7911,29.421,76.102,-46.681
