,Name,wb97x-DFT-forward,wb97x-DFT-reverse,wb97x-DFT-reaction
0,rxn_33,21.634,62.059,-40.425
1,rxn_53,29.56,65.798,-36.238
2,rxn_216,21.883,53.319,-31.436
3,rxn_365,35.454,70.669,-35.214
6,rxn_632,22.774,62.079,-39.306
10,rxn_721,24.58,66.211,-41.631
11,rxn_745,28.535,33.509,-4.974
12,rxn_769,32.111,34.99,-2.879
16,rxn_853,30.218,35.995,-5.776
18,rxn_971,30.338,45.255,-14.917
19,rxn_1000,40.385,39.888,0.498
20,rxn_1017,35.432,38.746,-3.314
21,rxn_1024,23.119,34.946,-11.826
23,rxn_1093,32.128,37.877,-5.748
24,rxn_1181,26.059,36.783,-10.725
27,rxn_1248,32.55,36.657,-4.106
28,rxn_1285,29.98,43.122,-13.142
31,rxn_1394,25.004,34.835,-9.831
32,rxn_1424,31.004,37.849,-6.844
33,rxn_1441,35.609,40.488,-4.879
34,rxn_1463,18.42,60.431,-42.011
35,rxn_1466,14.857,59.535,-44.678
36,rxn_1479,25.962,63.338,-37.376
37,rxn_1480,19.851,57.547,-37.695
41,rxn_1536,21.031,53.62,-32.589
43,rxn_1708,23.846,55.876,-32.03
45,rxn_1779,22.394,53.876,-31.482
46,rxn_1814,18.013,58.136,-40.123
48,rxn_1919,22.46,51.554,-29.094
50,rxn_2012,20.975,56.918,-35.943
51,rxn_2211,28.131,64.713,-36.582
53,rxn_2270,18.636,57.89,-39.254
54,rxn_2310,24.501,57.999,-33.498
55,rxn_2334,21.534,60.387,-38.853
56,rxn_2468,29.639,57.852,-28.213
58,rxn_2482,20.591,58.971,-38.381
59,rxn_2517,27.355,58.277,-30.923
60,rxn_2530,22.494,60.342,-37.848
62,rxn_2645,19.639,58.073,-38.434
63,rxn_2672,19.566,59.725,-40.159
65,rxn_2720,15.246,58.138,-42.892
66,rxn_2890,20.119,58.567,-38.448
68,rxn_2972,29.92,50.829,-20.909
71,rxn_3225,17.953,51.198,-33.245
73,rxn_3483,25.067,46.889,-21.822
74,rxn_3536,24.041,47.993,-23.951
75,rxn_3759,-7.44,26.548,-33.988
79,rxn_4392,12.762,38.44,-25.678
80,rxn_4581,27.968,49.244,-21.277
81,rxn_4652,0.456,42.594,-42.138
83,rxn_5129,4.828,43.27,-38.441
84,rxn_5245,43.121,45.137,-2.016
85,rxn_5345,43.963,48.359,-4.396
86,rxn_5374,41.92,47.172,-5.252
88,rxn_5432,40.826,53.652,-12.826
89,rxn_5534,45.046,44.618,0.428
92,rxn_5590,35.747,45.133,-9.386
95,rxn_5751,34.604,49.231,-14.627
96,rxn_5756,36.844,55.325,-18.48
98,rxn_5854,36.041,50.316,-14.274
102,rxn_5956,44.451,65.781,-21.33
106,rxn_6105,42.429,53.656,-11.226
109,rxn_6178,44.661,64.655,-19.994
110,rxn_6180,32.742,44.062,-11.32
114,rxn_6322,67.382,66.453,0.929
117,rxn_6410,30.723,28.244,2.479
119,rxn_6583,51.932,44.091,7.842
120,rxn_6612,30.154,23.151,7.003
122,rxn_7236,32.444,37.929,-5.484
127,rxn_7911,39.053,79.088,-40.034
