,Name,m062x-DFT-forward,m062x-DFT-reverse,m062x-DFT-reaction
0,rxn_33,12.371,52.259,-39.888
1,rxn_53,20.496,55.597,-35.1
2,rxn_216,13.174,43.496,-30.322
3,rxn_365,27.259,62.236,-34.977
6,rxn_632,12.601,51.002,-38.4
10,rxn_721,17.175,56.565,-39.39
11,rxn_745,22.417,25.458,-3.041
12,rxn_769,25.56,27.502,-1.942
16,rxn_853,24.245,27.945,-3.7
18,rxn_971,24.496,37.576,-13.08
19,rxn_1000,33.701,33.38,0.321
20,rxn_1017,27.827,31.519,-3.692
21,rxn_1024,17.776,27.595,-9.819
23,rxn_1093,23.769,31.072,-7.303
24,rxn_1181,20.96,29.306,-8.346
27,rxn_1248,25.21,29.59,-4.38
28,rxn_1285,25.053,35.622,-10.569
31,rxn_1394,19.572,27.437,-7.866
32,rxn_1424,23.027,30.902,-7.875
33,rxn_1441,28.933,33.808,-4.875
34,rxn_1463,11.543,52.064,-40.52
35,rxn_1466,8.16,51.594,-43.434
36,rxn_1479,19.54,57.456,-37.916
37,rxn_1480,12.464,49.704,-37.241
41,rxn_1536,13.245,44.331,-31.086
43,rxn_1708,16.104,46.92,-30.816
45,rxn_1779,14.874,44.833,-29.959
46,rxn_1814,11.875,49.803,-37.929
48,rxn_1919,15.344,42.822,-27.478
50,rxn_2012,13.485,47.609,-34.124
51,rxn_2211,21.614,56.246,-34.632
53,rxn_2270,8.823,50.049,-41.225
54,rxn_2310,16.286,52.285,-36.0
55,rxn_2334,12.992,53.236,-40.244
56,rxn_2468,20.708,51.224,-30.517
58,rxn_2482,12.082,51.602,-39.52
59,rxn_2517,18.316,51.634,-33.318
60,rxn_2530,13.843,53.499,-39.656
62,rxn_2645,11.606,50.294,-38.688
63,rxn_2672,10.643,52.397,-41.755
65,rxn_2720,6.347,50.552,-44.205
66,rxn_2890,12.519,51.067,-38.548
68,rxn_2972,24.248,47.856,-23.607
71,rxn_3225,12.967,47.617,-34.65
73,rxn_3483,19.384,42.93,-23.546
74,rxn_3536,19.548,45.123,-25.575
75,rxn_3759,-9.663,27.354,-37.017
79,rxn_4392,8.369,36.557,-28.188
80,rxn_4581,21.147,45.755,-24.608
81,rxn_4652,-3.515,38.636,-42.151
83,rxn_5129,0.274,39.665,-39.391
84,rxn_5245,35.515,36.817,-1.302
85,rxn_5345,36.716,41.079,-4.363
86,rxn_5374,35.061,39.047,-3.986
88,rxn_5432,34.233,46.114,-11.881
89,rxn_5534,40.06,39.854,0.207
92,rxn_5590,32.642,39.682,-7.04
95,rxn_5751,30.536,42.332,-11.796
96,rxn_5756,33.824,49.578,-15.754
98,rxn_5854,32.862,44.891,-12.029
102,rxn_5956,42.371,60.416,-18.044
106,rxn_6105,38.828,48.807,-9.98
109,rxn_6178,42.215,59.339,-17.123
110,rxn_6180,28.919,38.768,-9.849
114,rxn_6322,63.582,61.733,1.849
117,rxn_6410,28.111,27.427,0.684
119,rxn_6583,47.207,39.604,7.603
120,rxn_6612,28.0,21.747,6.252
122,rxn_7236,30.44,35.642,-5.202
127,rxn_7911,32.414,69.103,-36.688
