,Name,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction
0,rxn_33,30.678,34.811,-4.133
1,rxn_53,37.707,38.983,-1.276
2,rxn_216,31.028,31.273,-0.245
3,rxn_365,39.129,41.534,-2.405
6,rxn_632,32.043,37.467,-5.424
10,rxn_721,27.966,38.697,-10.731
11,rxn_745,35.383,13.402,21.981
12,rxn_769,39.691,13.666,26.025
16,rxn_853,37.818,16.562,21.256
18,rxn_971,35.036,25.139,9.897
19,rxn_1000,48.627,19.783,28.844
20,rxn_1017,45.447,19.028,26.419
21,rxn_1024,26.58,15.602,10.978
23,rxn_1093,42.755,17.418,25.337
24,rxn_1181,29.098,17.749,11.348
27,rxn_1248,42.409,16.628,25.782
28,rxn_1285,33.15,23.844,9.306
31,rxn_1394,29.793,13.638,16.155
32,rxn_1424,41.059,17.482,23.578
33,rxn_1441,43.015,20.276,22.739
34,rxn_1463,24.288,44.701,-20.414
35,rxn_1466,20.178,44.161,-23.983
36,rxn_1479,34.055,45.455,-11.401
37,rxn_1480,29.484,42.229,-12.745
41,rxn_1536,23.257,28.118,-4.862
43,rxn_1708,26.098,29.389,-3.291
45,rxn_1779,24.972,27.975,-3.002
46,rxn_1814,18.777,34.696,-15.919
48,rxn_1919,22.804,23.974,-1.17
50,rxn_2012,23.215,33.131,-9.917
51,rxn_2211,28.726,39.812,-11.086
53,rxn_2270,28.738,38.138,-9.399
54,rxn_2310,28.613,34.83,-6.217
55,rxn_2334,27.714,38.523,-10.808
56,rxn_2468,35.523,36.496,-0.973
58,rxn_2482,27.641,38.315,-10.674
59,rxn_2517,33.475,36.862,-3.387
60,rxn_2530,29.356,38.226,-8.869
62,rxn_2645,25.011,36.021,-11.01
63,rxn_2672,27.218,39.616,-12.399
65,rxn_2720,25.127,39.069,-13.942
66,rxn_2890,24.404,36.144,-11.74
68,rxn_2972,38.733,28.043,10.69
71,rxn_3225,25.828,29.778,-3.949
73,rxn_3483,35.921,25.946,9.975
74,rxn_3536,32.01,23.313,8.697
75,rxn_3759,2.787,13.634,-10.848
79,rxn_4392,9.98,10.169,-0.19
80,rxn_4581,37.536,22.438,15.098
81,rxn_4652,8.849,19.252,-10.403
83,rxn_5129,14.087,17.286,-3.199
84,rxn_5245,25.582,29.873,-4.291
85,rxn_5345,27.007,33.298,-6.291
86,rxn_5374,25.507,32.33,-6.823
88,rxn_5432,24.22,41.276,-17.056
89,rxn_5534,33.685,35.636,-1.95
92,rxn_5590,22.981,26.16,-3.179
95,rxn_5751,20.916,29.454,-8.538
96,rxn_5756,23.08,35.182,-12.101
98,rxn_5854,21.871,28.987,-7.116
102,rxn_5956,27.436,44.118,-16.682
106,rxn_6105,29.122,32.166,-3.044
109,rxn_6178,27.13,41.984,-14.853
110,rxn_6180,20.652,23.187,-2.535
114,rxn_6322,57.2,43.264,13.936
117,rxn_6410,32.711,8.589,24.122
119,rxn_6583,50.698,20.747,29.952
120,rxn_6612,29.86,6.738,23.122
122,rxn_7236,31.532,17.832,13.7
127,rxn_7911,36.0,56.917,-20.917
