,Name,wb2-plyp-DFT-forward,wb2-plyp-DFT-reverse,wb2-plyp-DFT-reaction
0,rxn_33,12.349,59.194,-46.846
1,rxn_53,21.045,63.585,-42.541
2,rxn_216,12.852,49.791,-36.939
3,rxn_365,28.063,69.081,-41.018
6,rxn_632,13.082,59.303,-46.222
10,rxn_721,17.416,63.869,-46.453
11,rxn_745,21.61,31.398,-9.789
12,rxn_769,24.469,33.552,-9.083
16,rxn_853,23.146,33.762,-10.616
18,rxn_971,23.796,44.048,-20.252
19,rxn_1000,32.576,38.522,-5.945
20,rxn_1017,26.845,37.008,-10.163
21,rxn_1024,17.269,33.358,-16.089
23,rxn_1093,23.345,36.511,-13.165
24,rxn_1181,20.272,35.099,-14.827
27,rxn_1248,24.114,34.703,-10.589
28,rxn_1285,24.353,41.793,-17.441
31,rxn_1394,18.508,33.244,-14.736
32,rxn_1424,22.545,36.448,-13.903
33,rxn_1441,27.91,39.314,-11.404
34,rxn_1463,9.91,57.464,-47.554
35,rxn_1466,6.918,56.588,-49.67
36,rxn_1479,18.362,62.367,-44.005
37,rxn_1480,11.446,55.281,-43.835
41,rxn_1536,13.018,51.098,-38.08
43,rxn_1708,16.005,53.528,-37.524
45,rxn_1779,14.41,51.444,-37.033
46,rxn_1814,11.769,56.56,-44.791
48,rxn_1919,15.154,49.583,-34.429
50,rxn_2012,13.409,54.967,-41.558
51,rxn_2211,21.748,63.376,-41.628
53,rxn_2270,8.6,56.284,-47.684
54,rxn_2310,16.861,58.966,-42.106
55,rxn_2334,12.336,59.043,-46.706
56,rxn_2468,20.537,56.96,-36.423
58,rxn_2482,11.454,57.617,-46.163
59,rxn_2517,18.407,57.795,-39.388
60,rxn_2530,13.053,59.13,-46.077
62,rxn_2645,11.198,56.571,-45.373
63,rxn_2672,10.114,58.614,-48.499
65,rxn_2720,6.424,56.56,-50.136
66,rxn_2890,11.992,57.604,-45.612
68,rxn_2972,23.214,51.026,-27.812
71,rxn_3225,10.984,51.091,-40.107
73,rxn_3483,18.226,46.708,-28.482
74,rxn_3536,17.345,47.952,-30.606
75,rxn_3759,-13.372,28.249,-41.621
79,rxn_4392,6.599,39.465,-32.866
80,rxn_4581,22.283,51.477,-29.194
81,rxn_4652,-6.382,43.77,-50.152
83,rxn_5129,-2.13,43.758,-45.888
84,rxn_5245,39.171,40.261,-1.091
85,rxn_5345,39.843,43.335,-3.492
86,rxn_5374,38.367,42.099,-3.732
88,rxn_5432,36.878,49.092,-12.214
89,rxn_5534,41.684,39.845,1.839
92,rxn_5590,33.639,41.852,-8.213
95,rxn_5751,31.802,45.027,-13.224
96,rxn_5756,35.156,52.452,-17.296
98,rxn_5854,34.262,46.707,-12.445
102,rxn_5956,44.238,63.801,-19.563
106,rxn_6105,41.173,51.081,-9.908
109,rxn_6178,43.69,61.999,-18.308
110,rxn_6180,30.234,40.882,-10.648
114,rxn_6322,65.422,62.577,2.845
117,rxn_6410,27.425,26.777,0.648
119,rxn_6583,48.563,42.515,6.048
120,rxn_6612,27.913,23.675,4.238
122,rxn_7236,28.615,36.9,-8.285
127,rxn_7911,33.615,77.436,-43.821
