,Name,rsx-0dh-DFT-forward,rsx-0dh-DFT-reverse,rsx-0dh-DFT-reaction
0,rxn_33,14.299,70.972,-56.672
1,rxn_53,22.158,74.393,-52.234
2,rxn_216,13.223,59.133,-45.909
3,rxn_365,29.123,81.304,-52.181
6,rxn_632,14.76,69.903,-55.143
10,rxn_721,17.593,75.596,-58.003
11,rxn_745,19.362,39.366,-20.004
12,rxn_769,23.428,41.187,-17.759
16,rxn_853,20.895,41.497,-20.602
18,rxn_971,22.455,51.907,-29.452
19,rxn_1000,31.937,46.029,-14.092
20,rxn_1017,26.183,44.667,-18.484
21,rxn_1024,14.799,41.277,-26.477
23,rxn_1093,22.056,44.654,-22.598
24,rxn_1181,17.758,42.912,-25.154
27,rxn_1248,22.651,42.761,-20.111
28,rxn_1285,22.457,49.715,-27.258
31,rxn_1394,16.421,40.924,-24.503
32,rxn_1424,20.522,44.525,-24.004
33,rxn_1441,27.322,47.092,-19.77
34,rxn_1463,10.34,65.371,-55.031
35,rxn_1466,6.837,64.927,-58.09
36,rxn_1479,20.804,71.991,-51.187
37,rxn_1480,13.304,64.219,-50.915
41,rxn_1536,12.494,62.348,-49.854
43,rxn_1708,16.009,65.093,-49.084
45,rxn_1779,13.995,62.795,-48.8
46,rxn_1814,10.118,67.324,-57.206
48,rxn_1919,15.006,61.253,-46.246
50,rxn_2012,12.8,65.673,-52.873
51,rxn_2211,21.097,73.971,-52.875
53,rxn_2270,9.182,66.173,-56.991
54,rxn_2310,18.221,69.36,-51.139
55,rxn_2334,12.748,69.53,-56.782
56,rxn_2468,21.284,67.1,-45.816
58,rxn_2482,11.604,67.542,-55.938
59,rxn_2517,19.684,68.151,-48.467
60,rxn_2530,13.639,69.171,-55.532
62,rxn_2645,11.094,66.739,-55.645
63,rxn_2672,10.765,68.829,-58.064
65,rxn_2720,7.122,66.269,-59.147
66,rxn_2890,12.559,67.889,-55.33
68,rxn_2972,24.842,61.409,-36.567
71,rxn_3225,12.34,60.98,-48.64
73,rxn_3483,18.612,56.068,-37.456
74,rxn_3536,17.698,58.049,-40.351
75,rxn_3759,-17.125,34.149,-51.274
79,rxn_4392,6.815,50.127,-43.312
80,rxn_4581,23.874,61.73,-37.856
81,rxn_4652,-6.201,52.398,-58.598
83,rxn_5129,-1.386,53.718,-55.105
84,rxn_5245,45.917,46.768,-0.851
85,rxn_5345,45.711,48.95,-3.239
86,rxn_5374,44.011,48.362,-4.351
88,rxn_5432,42.315,53.571,-11.256
89,rxn_5534,43.191,42.614,0.577
92,rxn_5590,40.022,49.071,-9.049
95,rxn_5751,37.792,52.154,-14.362
96,rxn_5756,42.199,59.974,-17.775
98,rxn_5854,41.206,54.552,-13.346
102,rxn_5956,50.963,71.038,-20.075
106,rxn_6105,48.003,58.687,-10.684
109,rxn_6178,51.37,71.498,-20.129
110,rxn_6180,36.667,47.96,-11.294
114,rxn_6322,64.941,72.235,-7.294
117,rxn_6410,25.606,35.51,-9.905
119,rxn_6583,47.719,52.785,-5.066
120,rxn_6612,26.058,29.664,-3.606
122,rxn_7236,27.459,45.731,-18.273
127,rxn_7911,32.266,88.235,-55.969
