,Type,rxn_smiles
29,Diels-Alder,CC(=O)OC=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@H]1C=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
30,Diels-Alder,CC(C)(C)C=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>CC(C)(C)[C@H]1C=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
31,Diels-Alder,C=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@@H]1C=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
32,Diels-Alder,COC(=O)C=CC=Cc1ccccc1.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@@H]1C=C[C@H](c2ccccc2)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
33,Diels-Alder,COC(=O)C=CC=CC=O.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@@H]1C=C[C@H](C=O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
34,Diels-Alder,COC(=O)C=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@@H]1C=C[C@H](O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
35,Diels-Alder,COC(=O)C=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@@H]1C=C[C@H](C#N)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
36,Diels-Alder,COC(=O)C=CC=CC(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@H]1C=C[C@@H](C(=O)OC)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
37,Diels-Alder,COC(=O)C=CC=COC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@@H]1C=C[C@H](OC(C)=O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
38,Diels-Alder,COC(=O)C=CC=CC(C)(C)C.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@@H]1C=C[C@H](C(C)(C)C)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
39,Diels-Alder,C=CC=CC(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@@H]1C=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
40,Diels-Alder,CC(=O)OC=CC=Cc1ccccc1.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@@H]1C=C[C@H](c2ccccc2)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
41,Diels-Alder,CC(=O)OC=CC=CC=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@@H]1C=C[C@H](C=O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
42,Diels-Alder,CC(=O)OC=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@@H]1C=C[C@H](O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
43,Diels-Alder,CC(=O)OC=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@@H]1C=C[C@H](C#N)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
44,Diels-Alder,COC(=O)C=CC=COC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@H]1C=C[C@@H](OC(C)=O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
45,Diels-Alder,CC(=O)OC=CC=COC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@H]1C=C[C@@H](OC(C)=O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
46,Diels-Alder,CC(=O)OC=CC=CC(C)(C)C.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@@H]1C=C[C@H](C(C)(C)C)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
47,Diels-Alder,C=CC=COC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@@H]1C=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
48,Diels-Alder,CC(C)(C)C=CC=Cc1ccccc1.O=C1C=CC(=O)c2c(O)cccc21>>CC(C)(C)[C@@H]1C=C[C@H](c2ccccc2)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
49,Diels-Alder,CC(C)(C)C=CC=CC=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(C)(C)[C@@H]1C=C[C@H](C=O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
50,Diels-Alder,CC(C)(C)C=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>CC(C)(C)[C@@H]1C=C[C@H](O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
51,Diels-Alder,CC(C)(C)C=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>CC(C)(C)[C@@H]1C=C[C@H](C#N)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
52,Diels-Alder,COC(=O)C=CC=CC(C)(C)C.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@H]1C=C[C@@H](C(C)(C)C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
53,Diels-Alder,CC(=O)OC=CC=CC(C)(C)C.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@H]1C=C[C@@H](C(C)(C)C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
54,Diels-Alder,CC(C)(C)C=CC=CC(C)(C)C.O=C1C=CC(=O)c2c(O)cccc21>>CC(C)(C)[C@@H]1C=C[C@H](C(C)(C)C)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
55,Diels-Alder,C=CC=CC(C)(C)C.O=C1C=CC(=O)c2c(O)cccc21>>CC(C)(C)[C@@H]1C=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
56,Diels-Alder,C=CC=Cc1ccccc1.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2cccc(O)c2C(=O)[C@@H]2CC=C[C@H](c3ccccc3)[C@H]12
57,Diels-Alder,C=CC=CC=O.O=C1C=CC(=O)c2c(O)cccc21>>O=C[C@H]1C=CC[C@H]2C(=O)c3c(O)cccc3C(=O)[C@@H]12
58,Diels-Alder,C=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2cccc(O)c2C(=O)[C@@H]2CC=C[C@H](O)[C@H]12
59,Diels-Alder,C=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@H]1C=CC[C@H]2C(=O)c3c(O)cccc3C(=O)[C@@H]12
60,Diels-Alder,C=CC=CC(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@H]1C=CC[C@H]2C(=O)c3c(O)cccc3C(=O)[C@@H]12
61,Diels-Alder,C=CC=COC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@H]1C=CC[C@H]2C(=O)c3c(O)cccc3C(=O)[C@@H]12
62,Diels-Alder,C=CC=CC(C)(C)C.O=C1C=CC(=O)c2c(O)cccc21>>CC(C)(C)[C@H]1C=CC[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
63,Diels-Alder,C=CC=C.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2cccc(O)c2C(=O)[C@@H]2CC=CC[C@H]12
64,Diels-Alder,C1#Cc2ccccc2CCc2ccccc21.c1ccc(-c2nnc(-c3ccccc3)nn2)cc1>>c1ccc([C@]23N=N[C@@](c4ccccc4)(N=N2)C2=C3c3ccccc3CCc3ccccc32)cc1
65,Diels-Alder,C1#Cc2ccccc2CCc2ccccc21.O=Cc1nnc(C=O)nn1>>O=C[C@]12N=N[C@@](C=O)(N=N1)C1=C2c2ccccc2CCc2ccccc21
66,Diels-Alder,C1#Cc2ccccc2CCc2ccccc21.Oc1nnc(O)nn1>>O[C@]12N=N[C@@](O)(N=N1)C1=C2c2ccccc2CCc2ccccc21
67,Diels-Alder,C1#Cc2ccccc2CCc2ccccc21.N#Cc1nnc(C#N)nn1>>N#C[C@]12N=N[C@@](C#N)(N=N1)C1=C2c2ccccc2CCc2ccccc21
68,Diels-Alder,C1#Cc2ccccc2CCc2ccccc21.COC(=O)c1nnc(C(=O)OC)nn1>>COC(=O)[C@]12N=N[C@@](C(=O)OC)(N=N1)C1=C2c2ccccc2CCc2ccccc21
69,Diels-Alder,C1#Cc2ccccc2CCc2ccccc21.CC(=O)Oc1nnc(OC(C)=O)nn1>>CC(=O)O[C@]12N=N[C@@](OC(C)=O)(N=N1)C1=C2c2ccccc2CCc2ccccc21
70,Diels-Alder,C1#Cc2ccccc2CCc2ccccc21.CC(C)(C)c1nnc(C(C)(C)C)nn1>>CC(C)(C)[C@]12N=N[C@@](C(C)(C)C)(N=N1)C1=C2c2ccccc2CCc2ccccc21
71,Diels-Alder,C1#Cc2ccccc2CCc2ccccc21.c1nncnn1>>c1ccc2c(c1)CCc1ccccc1C1=C2[C@]2N=N[C@]1N=N2
72,Diels-Alder,C(=C(c1ccccc1)c1ccccc1)c1ccccc1.c1ccc(-c2ccoc2)cc1>>C1=C(c2ccccc2)[C@H]2O[C@@H]1[C@@H](c1ccccc1)C2(c1ccccc1)c1ccccc1
73,Diels-Alder,O=CC(=Cc1ccccc1)c1ccccc1.O=Cc1ccoc1>>O=CC1=C[C@@H]2O[C@H]1[C@](C=O)(c1ccccc1)[C@@H]2c1ccccc1
74,Diels-Alder,OC(=Cc1ccccc1)c1ccccc1.Oc1ccoc1>>OC1=C[C@@H]2O[C@H]1[C@](O)(c1ccccc1)[C@@H]2c1ccccc1
75,Diels-Alder,N#CC(=Cc1ccccc1)c1ccccc1.N#Cc1ccoc1>>N#CC1=C[C@@H]2O[C@H]1[C@](C#N)(c1ccccc1)[C@@H]2c1ccccc1
76,Diels-Alder,COC(=O)C(=Cc1ccccc1)c1ccccc1.COC(=O)c1ccoc1>>COC(=O)C1=C[C@@H]2O[C@H]1[C@](C(=O)OC)(c1ccccc1)[C@@H]2c1ccccc1
77,Diels-Alder,CC(=O)OC(=Cc1ccccc1)c1ccccc1.CC(=O)Oc1ccoc1>>CC(=O)OC1=C[C@@H]2O[C@H]1[C@](OC(C)=O)(c1ccccc1)[C@@H]2c1ccccc1
78,Diels-Alder,CC(C)(C)C(=Cc1ccccc1)c1ccccc1.CC(C)(C)c1ccoc1>>CC(C)(C)C1=C[C@@H]2O[C@H]1[C@@](c1ccccc1)(C(C)(C)C)[C@@H]2c1ccccc1
79,Diels-Alder,C(=Cc1ccccc1)c1ccccc1.c1ccoc1>>C1=C[C@H]2O[C@@H]1[C@@H](c1ccccc1)C2c1ccccc1
80,Diels-Alder,O=CC=C(C=O)c1ccccc1.c1ccc(-c2ccoc2)cc1>>O=C[C@@H]1[C@@H]2C=C(c3ccccc3)[C@@H](O2)[C@@]1(C=O)c1ccccc1
81,Diels-Alder,O=CC=C(C=O)C=O.O=Cc1ccoc1>>O=CC1=C[C@@H]2O[C@H]1C(C=O)(C=O)[C@@H]2C=O
82,Diels-Alder,O=CC=C(O)C=O.Oc1ccoc1>>O=C[C@@H]1[C@@H]2C=C(O)[C@@H](O2)[C@]1(O)C=O
83,Diels-Alder,N#CC(C=O)=CC=O.N#Cc1ccoc1>>N#CC1=C[C@@H]2O[C@H]1[C@](C#N)(C=O)[C@@H]2C=O
84,Diels-Alder,COC(=O)C(C=O)=CC=O.COC(=O)c1ccoc1>>COC(=O)C1=C[C@@H]2O[C@H]1[C@@](C=O)(C(=O)OC)[C@@H]2C=O
85,Diels-Alder,CC(=O)OC(C=O)=CC=O.CC(=O)Oc1ccoc1>>CC(=O)OC1=C[C@@H]2O[C@H]1[C@@](C=O)(OC(C)=O)[C@@H]2C=O
