,Name,Type,b2-plyp-DFT-forward,REF-forward,b2-plyp-DELTA-forward,b2-plyp-DFT-reverse,REF-reverse,b2-plyp-DELTA-reverse,b2-plyp-DFT-reaction,REF-reaction,b2-plyp-DELTA-reaction
75,02_76,[3+2]cycloaddition,17.972,20.35,-2.378,27.781,37.37,-9.589,-9.809,-17.02,7.211
76,02_77,[3+2]cycloaddition,10.201,6.99,3.211,37.381,46.28,-8.899,-27.179,-39.3,12.121
77,02_78,[3+2]cycloaddition,17.371,19.13,-1.759,28.886,38.27,-9.384,-11.515,-19.14,7.625
78,02_79,[3+2]cycloaddition,5.154,1.94,3.214,33.551,42.25,-8.699,-28.397,-40.31,11.913
79,02_80,[3+2]cycloaddition,27.019,28.38,-1.361,32.538,41.25,-8.712,-5.519,-12.87,7.351
80,02_81,[3+2]cycloaddition,15.047,11.14,3.907,34.444,43.06,-8.616,-19.397,-31.92,12.523
81,02_82,Electrocyclic,12.45,10.61,1.840,28.253,37.95,-9.697,-15.803,-27.34,11.537
82,02_83,Electrocyclic,13.8,17.65,-3.850,45.515,44.98,0.535,-31.715,-27.33,-4.385
83,02_84,Electrocyclic,24.881,26.68,-1.799,45.029,50.51,-5.481,-20.148,-23.83,3.682
84,02_85,Electrocyclic,28.895,30.66,-1.765,45.959,51.43,-5.471,-17.063,-20.78,3.717
85,02_86,Electrocyclic,27.629,27.74,-0.111,49.102,52.7,-3.598,-21.473,-24.96,3.487
86,02_87,Electrocyclic,29.865,30.73,-0.865,49.084,53.65,-4.566,-19.219,-22.91,3.691
87,02_88,Electrocyclic,22.673,24.91,-2.237,46.218,51.36,-5.142,-23.545,-26.45,2.905
88,02_89,Electrocyclic,26.177,28.62,-2.443,47.573,52.88,-5.307,-21.396,-24.26,2.864
89,02_90,Electrocyclic,25.222,27.43,-2.208,46.826,52.17,-5.344,-21.604,-24.74,3.136
90,02_91,Electrocyclic,28.862,31.0,-2.138,49.273,54.55,-5.277,-20.411,-23.55,3.139
91,02_92,Electrocyclic,20.959,23.66,-2.701,48.63,53.48,-4.850,-27.671,-29.82,2.149
92,02_93,Electrocyclic,26.045,28.69,-2.645,50.318,54.95,-4.632,-24.274,-26.26,1.986
93,02_94,Electrocyclic,22.664,25.6,-2.936,49.296,54.46,-5.164,-26.633,-28.86,2.227
94,02_95,Electrocyclic,25.074,28.02,-2.946,50.644,55.88,-5.236,-25.571,-27.86,2.289
95,02_96,Electrocyclic,7.722,11.39,-3.668,15.552,15.19,0.362,-7.83,-3.8,-4.030
96,02_97,Electrocyclic,39.836,43.52,-3.684,19.703,21.76,-2.057,20.133,21.76,-1.627
97,02_98,Electrocyclic,30.091,33.08,-2.989,46.419,45.42,0.999,-16.328,-12.34,-3.988
98,02_99,Electrocyclic,42.471,44.28,-1.809,56.233,54.35,1.883,-13.762,-10.07,-3.692
99,02_100,Electrocyclic,33.529,36.07,-2.541,19.052,19.79,-0.738,14.477,16.28,-1.803
100,02_101,Electrocyclic,39.851,41.8,-1.949,46.439,45.81,0.629,-6.589,-4.01,-2.579
101,02_102,Electrocyclic,38.348,38.73,-0.382,33.984,36.55,-2.566,4.364,2.18,2.184
102,02_103,Electrocyclic,36.291,36.24,0.051,34.316,36.68,-2.364,1.975,-0.44,2.415
103,02_104,Electrocyclic,12.28,13.1,-0.820,37.752,40.49,-2.738,-25.472,-27.39,1.918
104,02_105,Electrocyclic,49.4,48.25,1.150,40.447,42.24,-1.793,8.953,6.01,2.943
105,02_106,[4+6]cycloaddition,14.46,11.53,2.930,15.254,29.79,-14.536,-0.793,-18.26,17.467
106,02_107,[6+4]cycloaddition,14.46,11.53,2.930,21.694,36.38,-14.686,-7.233,-24.85,17.617
107,02_108,[8+2]cycloaddition,14.46,11.53,2.930,22.432,35.01,-12.578,-7.972,-23.48,15.508
108,02_109,"[3,3]rearrangement",42.79,43.45,-0.660,50.533,50.58,-0.047,-7.743,-7.13,-0.613
109,02_110,"[3,3]rearrangement",42.79,43.45,-0.660,55.326,57.37,-2.044,-12.536,-13.92,1.384
110,02_111,"[3,3]rearrangement",36.588,36.96,-0.372,49.548,51.17,-1.622,-12.961,-14.22,1.259
111,02_112,[4+6]cycloaddition,15.62,12.84,2.780,16.091,31.12,-15.029,-0.471,-18.28,17.809
112,02_113,[6+4]cycloaddition,15.62,12.84,2.780,21.665,36.75,-15.085,-6.045,-23.91,17.865
113,02_114,[8+2]cycloaddition,15.62,12.84,2.780,23.719,37.94,-14.221,-8.099,-25.1,17.001
114,02_115,[4+6]cycloaddition,15.411,11.83,3.581,15.883,30.11,-14.227,-0.471,-18.28,17.809
115,02_116,[6+4]cycloaddition,15.411,11.83,3.581,21.457,35.81,-14.353,-6.046,-23.98,17.934
116,02_117,[8+2]cycloaddition,15.411,11.83,3.581,28.112,40.21,-12.098,-12.7,-28.38,15.680
117,02_118,[4+2]intramolecular,20.141,22.52,-2.379,29.708,41.61,-11.902,-9.567,-19.09,9.523
118,02_119,[6+4]intramolecular,16.571,18.91,-2.339,34.829,47.58,-12.751,-18.258,-28.67,10.412
119,02_120,[4+2]intramolecular,14.076,16.79,-2.714,30.526,43.12,-12.594,-16.45,-26.33,9.880
120,02_121,[6+4]intramolecular,14.076,16.79,-2.714,41.772,54.33,-12.558,-27.695,-37.54,9.845
121,02_122,[4+2]intramolecular,15.744,19.29,-3.546,22.537,37.46,-14.923,-6.793,-18.17,11.377
122,02_123,[6+4]intramolecular,15.744,19.29,-3.546,28.788,41.95,-13.162,-13.044,-22.66,9.616
123,02_124,[4+2]intramolecular,18.705,21.68,-2.975,34.408,46.02,-11.612,-15.702,-24.34,8.638
124,02_125,[6+4]intramolecular,18.706,21.68,-2.974,35.664,47.32,-11.656,-16.958,-25.64,8.682
125,02_126,"[3,3]rearrangement",15.178,20.25,-5.072,20.299,26.19,-5.891,-5.121,-5.95,0.829
126,02_127,"[3,3]rearrangement",15.096,20.95,-5.854,26.341,32.16,-5.819,-11.246,-11.21,-0.036
127,02_128,"[3,3]rearrangement",27.758,32.74,-4.982,39.59,41.45,-1.860,-11.833,-8.71,-3.123
128,02_129,"[3,3]rearrangement",29.595,34.42,-4.825,36.651,40.15,-3.499,-7.056,-5.73,-1.326
