,Type,Name,bhandhlyp-d3bj-DFT-forward,REF-forward,bhandhlyp-d3bj-DELTA-forward,bhandhlyp-d3bj-DFT-reverse,REF-reverse,bhandhlyp-d3bj-DELTA-reverse,bhandhlyp-d3bj-DFT-reaction,REF-reaction,bhandhlyp-d3bj-DELTA-reaction,cam-b3lyp-d3bj-DFT-forward,cam-b3lyp-d3bj-DELTA-forward,cam-b3lyp-d3bj-DFT-reverse,cam-b3lyp-d3bj-DELTA-reverse,cam-b3lyp-d3bj-DFT-reaction,cam-b3lyp-d3bj-DELTA-reaction,blyp-d3bj-DFT-forward,blyp-d3bj-DELTA-forward,blyp-d3bj-DFT-reverse,blyp-d3bj-DELTA-reverse,blyp-d3bj-DFT-reaction,blyp-d3bj-DELTA-reaction,b3lyp-d3bj-DFT-forward,b3lyp-d3bj-DELTA-forward,b3lyp-d3bj-DFT-reverse,b3lyp-d3bj-DELTA-reverse,b3lyp-d3bj-DFT-reaction,b3lyp-d3bj-DELTA-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
15,Diels-Alder,02_16,28.058,23.43,4.628,52.983,53.32,-0.337,-24.925,-29.89,4.965,26.648,3.218,50.972,-2.348,-24.323,5.567,20.065,-3.365,31.074,-22.246,-11.009,18.881,22.619,-0.811,40.607,-12.713,-17.988,11.902,7.9929999999999986,3.6691338214897526,21.908999999999995,10.130216746611758,13.916,6.507948287799056
16,Diels-Alder,02_17,19.533,15.27,4.263,59.61,59.46,0.15,-40.077,-44.18,4.103,18.253,2.983,57.421,-2.039,-39.168,5.012,11.649,-3.621,37.235,-22.225,-25.586,18.594,14.2,-1.07,47.09,-12.37,-32.89,11.29,7.884000000000002,3.637581282024271,22.375,10.30173095487679,14.491,6.706344974475043
17,Diels-Alder,02_18,24.23,19.86,4.37,72.003,70.4,1.603,-47.773,-50.54,2.767,22.481,2.621,68.899,-1.501,-46.418,4.122,15.642,-4.218,48.594,-21.806,-32.952,17.588,18.58,-1.28,58.866,-11.534,-40.286,10.254,8.588000000000001,3.866057541820436,23.409,10.601355903845509,14.821000000000005,6.771726583129792
18,Diels-Alder,02_19,27.422,22.04,5.382,60.013,59.33,0.683,-32.591,-37.29,4.699,26.496,4.456,57.886,-1.444,-31.39,5.9,16.676,-5.364,35.206,-24.124,-18.53,18.76,20.487,-1.553,45.922,-13.408,-25.435,11.855,10.746000000000002,5.094870124285146,24.806999999999995,11.513832300758942,14.061,6.447758706196544
19,Diels-Alder,02_20,24.458,19.1,5.358,58.026,56.89,1.136,-33.567,-37.79,4.223,23.215,4.115,55.993,-0.897,-32.778,5.012,14.686,-4.414,33.868,-23.022,-19.182,18.608,18.076,-1.024,44.303,-12.587,-26.226,11.564,9.771999999999998,4.549837167415994,24.158,11.221719015670757,14.385000000000002,6.70098800551083
20,Diels-Alder,02_21,16.149,12.4,3.749,63.513,62.14,1.373,-47.363,-49.74,2.377,14.854,2.454,60.92,-1.22,-46.066,3.674,9.768,-2.632,41.256,-20.884,-31.489,18.251,11.634,-0.766,50.991,-11.149,-39.357,10.383,6.381,2.922572539732761,22.256999999999998,10.160898680727016,15.873999999999999,7.286786871911835
21,Diels-Alder,02_22,11.449,8.83,2.619,72.115,68.85,3.265,-60.665,-60.01,-0.655,9.721,0.891,69.147,0.297,-59.426,0.584,5.107,-3.723,52.678,-16.172,-47.571,12.439,7.108,-1.722,61.221,-7.629,-54.113,5.897,6.342,2.8013686387192958,19.436999999999998,8.71931531620077,13.094000000000001,5.968552441756713
22,Diels-Alder,02_23,29.588,24.81,4.778,58.831,57.02,1.811,-29.244,-32.21,2.966,28.238,3.428,56.595,-0.425,-28.357,3.853,21.048,-3.762,38.99,-18.03,-17.942,14.268,23.796,-1.014,47.6,-9.42,-23.804,8.406,8.540000000000003,3.9505308925932145,19.841,9.081934852588773,11.302,5.177520730684394
23,Diels-Alder,02_24,31.492,26.62,4.872,77.246,73.95,3.296,-45.754,-47.33,1.576,28.98,2.36,73.686,-0.264,-44.707,2.623,21.523,-5.097,56.108,-17.842,-34.585,12.745,24.936,-1.684,65.3,-8.65,-40.364,6.966,9.969000000000001,4.399636301256427,21.137999999999998,9.425141484349188,11.168999999999997,5.0794376657263935
24,Diels-Alder,02_25,28.657,23.55,5.107,56.477,54.52,1.957,-27.82,-30.97,3.15,26.508,2.958,54.523,0.003,-28.015,2.955,19.652,-3.898,36.574,-17.946,-16.922,14.048,22.618,-0.932,45.245,-9.275,-22.627,8.343,9.004999999999999,4.011563899112996,19.903,9.172147490273657,11.093,5.247252423888144
