,Type,Name,bhandhlyp-d3bj-DFT-forward,REF-forward,bhandhlyp-d3bj-DELTA-forward,bhandhlyp-d3bj-DFT-reverse,REF-reverse,bhandhlyp-d3bj-DELTA-reverse,bhandhlyp-d3bj-DFT-reaction,REF-reaction,bhandhlyp-d3bj-DELTA-reaction,cam-b3lyp-d3bj-DFT-forward,cam-b3lyp-d3bj-DELTA-forward,cam-b3lyp-d3bj-DFT-reverse,cam-b3lyp-d3bj-DELTA-reverse,cam-b3lyp-d3bj-DFT-reaction,cam-b3lyp-d3bj-DELTA-reaction,blyp-d3bj-DFT-forward,blyp-d3bj-DELTA-forward,blyp-d3bj-DFT-reverse,blyp-d3bj-DELTA-reverse,blyp-d3bj-DFT-reaction,blyp-d3bj-DELTA-reaction,b3lyp-d3bj-DFT-forward,b3lyp-d3bj-DELTA-forward,b3lyp-d3bj-DFT-reverse,b3lyp-d3bj-DELTA-reverse,b3lyp-d3bj-DFT-reaction,b3lyp-d3bj-DELTA-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
63,[3+2]cycloaddition,02_64,8.13,5.38,2.75,49.013,50.91,-1.897,-40.882,-45.54,4.658,7.537,2.157,47.019,-3.891,-39.482,6.058,3.581,-1.799,28.63,-22.28,-25.049,20.491,5.438,0.058,38.079,-12.831,-32.641,12.899,4.549000000000001,2.0775807244645557,20.383,9.337904846198994,15.832999999999998,7.264681709017493
64,[3+2]cycloaddition,02_65,10.278,8.08,2.198,54.34,56.87,-2.53,-44.061,-48.79,4.729,10.298,2.218,52.442,-4.428,-42.144,6.646,6.383,-1.697,33.521,-23.349,-27.138,21.652,8.105,0.025,43.244,-13.626,-35.139,13.651,3.915,1.8928618544415756,20.819000000000003,9.562507320258637,16.923,7.680771250336777
65,[3+2]cycloaddition,02_66,7.313,6.79,0.523,51.861,55.77,-3.909,-44.548,-48.98,4.432,7.578,0.788,50.321,-5.449,-42.743,6.237,3.705,-3.085,32.705,-23.065,-29.0,19.98,5.376,-1.414,41.783,-13.987,-36.407,12.573,3.873,1.8138594212341816,19.156,8.83421852797405,15.548000000000002,7.042447514891397
66,[3+2]cycloaddition,02_67,9.15,6.93,2.22,35.283,34.09,1.193,-26.133,-27.16,1.027,6.755,-0.175,31.664,-2.426,-24.91,2.25,-1.358,-8.288,9.015,-25.075,-10.372,16.788,2.826,-4.104,20.43,-13.66,-17.604,9.556,10.508000000000001,4.60896527614026,26.268,11.878547806865956,15.761,7.30115056572136
67,[3+2]cycloaddition,02_68,11.357,8.7,2.657,36.55,35.15,1.4,-25.194,-26.45,1.256,8.767,0.067,32.664,-2.486,-23.898,2.552,0.24,-8.46,9.433,-25.717,-9.193,17.257,4.665,-4.035,21.209,-13.941,-16.543,9.907,11.116999999999999,4.866513219612854,27.116999999999997,12.231617254748722,16.000999999999998,7.39880039826277
68,[3+2]cycloaddition,02_69,16.633,13.35,3.283,40.799,38.42,2.379,-24.166,-25.07,0.904,13.908,0.558,36.714,-1.706,-22.806,2.264,5.571,-7.779,13.824,-24.596,-8.252,16.818,9.916,-3.434,25.592,-12.828,-15.676,9.394,11.062,4.8238316029203725,26.975,12.11654346681979,15.914,7.33119299068485
69,[3+2]cycloaddition,02_70,41.968,33.3,8.668,44.46,41.8,2.66,-2.491,-8.51,6.019,37.829,4.529,40.576,-1.224,-2.747,5.763,31.932,-1.368,22.91,-18.89,9.022,17.532,35.55,2.25,31.978,-9.822,3.572,12.082,10.036000000000005,4.204181598916332,21.55,9.589621403719057,11.769,5.60889394919652
70,[3+2]cycloaddition,02_71,43.766,34.78,8.986,42.761,40.16,2.601,1.004,-5.38,6.384,39.575,4.795,39.167,-0.993,0.408,5.788,33.158,-1.622,20.156,-20.004,13.002,18.382,37.057,2.277,29.682,-10.478,7.375,12.755,10.607999999999997,4.451827714546014,22.605000000000004,10.153370228648221,12.594000000000001,5.94213706646579
71,[3+2]cycloaddition,02_72,33.407,26.38,7.027,53.988,51.44,2.548,-20.581,-25.06,4.479,31.042,4.662,50.201,-1.239,-19.158,5.902,25.931,-0.449,30.48,-20.96,-4.549,20.511,28.734,2.354,40.465,-10.975,-11.73,13.33,7.4759999999999955,3.1967004343020093,23.508,10.5405831748849,16.032,7.402448806532426
72,[3+2]cycloaddition,02_73,14.17,10.06,4.11,47.14,45.53,1.61,-32.97,-35.47,2.5,11.703,1.643,43.781,-1.749,-32.078,3.392,7.362,-2.698,27.428,-18.102,-20.066,15.404,9.501,-0.559,36.08,-9.45,-26.579,8.891,6.808,2.9226546152427932,19.712,8.773789275449918,12.904,5.951890981024435
73,[3+2]cycloaddition,02_74,31.277,27.86,3.417,25.251,26.23,-0.979,6.026,1.63,4.396,29.203,1.343,23.431,-2.799,5.772,4.142,23.857,-4.003,8.004,-18.226,15.852,14.222,26.496,-1.364,15.675,-10.555,10.821,9.191,7.420000000000002,3.228618422277038,17.247,7.902864939374835,10.08,4.761097378756288
74,[3+2]cycloaddition,02_75,13.891,9.79,4.101,42.846,41.83,1.016,-28.955,-32.04,3.085,11.484,1.694,39.739,-2.091,-28.255,3.785,6.664,-3.126,23.122,-18.708,-16.458,15.582,8.946,-0.844,31.793,-10.037,-22.847,9.193,7.227,3.1272667911985597,19.723999999999997,8.82849685205056,12.497,5.796605810012154
75,[3+2]cycloaddition,02_76,23.745,20.35,3.395,36.482,37.37,-0.888,-12.737,-17.02,4.283,21.768,1.418,34.048,-3.322,-12.28,4.74,16.051,-4.299,16.747,-20.623,-0.696,16.324,18.765,-1.585,25.478,-11.892,-6.713,10.307,7.694000000000003,3.378540846282609,19.735,8.969775447765308,12.041,5.648509685453914
76,[3+2]cycloaddition,02_77,10.496,6.99,3.506,48.041,46.28,1.761,-37.545,-39.3,1.755,8.237,1.247,44.712,-1.568,-36.475,2.825,2.998,-3.992,27.209,-19.071,-24.212,15.088,5.454,-1.536,36.401,-9.879,-30.946,8.354,7.498,3.2655907454343795,20.831999999999997,9.311572812903306,13.333000000000002,6.11527020389669
77,[3+2]cycloaddition,02_78,23.774,19.13,4.644,37.737,38.27,-0.533,-13.963,-19.14,5.177,21.433,2.303,35.17,-3.1,-13.737,5.403,15.426,-3.704,17.48,-20.79,-2.055,17.085,18.306,-0.824,26.404,-11.866,-8.099,11.041,8.348,3.6426293960086946,20.257,9.195964055859868,11.908,5.634892338516031
78,[3+2]cycloaddition,02_79,4.193,1.94,2.253,42.941,42.25,0.691,-38.748,-40.31,1.562,2.358,0.418,40.118,-2.132,-37.759,2.551,-2.563,-4.503,22.338,-19.912,-24.9,15.41,-0.367,-2.307,31.489,-10.761,-31.855,8.455,6.756,2.975856221325217,20.603,9.300224387974017,13.847999999999999,6.3825399593996535
79,[3+2]cycloaddition,02_80,32.128,28.38,3.748,41.599,41.25,0.349,-9.472,-12.87,3.398,30.037,1.657,38.888,-2.362,-8.85,4.02,22.388,-5.992,21.073,-20.177,1.315,14.185,25.986,-2.394,30.11,-11.14,-4.124,8.746,9.739999999999998,4.328466346948612,20.525999999999996,9.294972637578516,10.786999999999999,5.004934057174646
80,[3+2]cycloaddition,02_81,15.285,11.14,4.145,43.418,43.06,0.358,-28.134,-31.92,3.786,13.002,1.862,40.204,-2.856,-27.202,4.718,8.144,-2.996,23.34,-19.72,-15.197,16.723,10.404,-0.736,32.162,-10.898,-21.759,10.161,7.141,3.102250513739985,20.078,8.977051111955788,12.937000000000001,5.955958752935305
81,Electrocyclic,02_82,12.362,10.61,1.752,37.615,37.95,-0.335,-25.253,-27.34,2.087,11.397,0.787,35.498,-2.452,-24.101,3.239,3.578,-7.032,17.405,-20.545,-13.827,13.513,6.852,-3.758,26.565,-11.385,-19.713,7.627,8.784,4.092298080948324,20.21,9.247022164819692,11.426,5.180305621614745
82,Electrocyclic,02_83,14.786,17.65,-2.864,47.345,44.98,2.365,-32.559,-27.33,-5.229,15.045,-2.605,46.271,1.291,-31.227,-3.897,6.816,-10.834,41.855,-3.125,-35.04,-7.71,10.598,-7.052,44.433,-0.547,-33.835,-6.505,8.229,3.9043042380600075,5.490000000000002,2.4031004972743037,3.812999999999999,1.6419099396739152
83,Electrocyclic,02_84,29.768,26.68,3.088,52.436,50.51,1.926,-22.668,-23.83,1.162,27.745,1.065,50.14,-0.37,-22.395,1.435,21.83,-4.85,37.357,-13.153,-15.527,8.303,24.643,-2.037,43.773,-6.737,-19.13,4.7,7.938000000000002,3.486791696292358,15.079,6.787269087539308,7.141,3.3466041494824768
84,Electrocyclic,02_85,33.899,30.66,3.239,53.481,51.43,2.051,-19.582,-20.78,1.198,31.643,0.983,51.157,-0.273,-19.515,1.265,25.506,-5.154,38.279,-13.151,-12.772,8.008,28.488,-2.172,44.752,-6.678,-16.264,4.516,8.393,3.6665154211230773,15.201999999999998,6.840223308976589,6.8100000000000005,3.235491036921599
85,Electrocyclic,02_86,30.63,27.74,2.89,55.048,52.7,2.348,-24.418,-24.96,0.542,28.25,0.51,52.317,-0.383,-24.067,0.893,21.594,-6.146,38.453,-14.247,-16.858,8.102,24.811,-2.929,45.432,-7.268,-20.622,4.338,9.035999999999998,3.95445532490464,16.595,7.43662111894015,7.559999999999999,3.53190009060279
86,Electrocyclic,02_87,33.629,30.73,2.899,55.992,53.65,2.342,-22.363,-22.91,0.547,31.494,0.764,53.737,0.087,-22.243,0.667,23.975,-6.755,39.1,-14.55,-15.125,7.785,27.499,-3.231,46.287,-7.363,-18.789,4.121,9.653999999999996,4.284164669648758,16.891999999999996,7.670337628379426,7.2379999999999995,3.430226620307565
87,Electrocyclic,02_88,27.718,24.91,2.808,53.754,51.36,2.394,-26.036,-26.45,0.414,25.797,0.887,51.324,-0.036,-25.526,0.924,20.068,-4.842,38.462,-12.898,-18.394,8.056,22.742,-2.168,44.941,-6.419,-22.199,4.251,7.649999999999999,3.3699413817849506,15.291999999999994,6.8651918339305436,7.642000000000003,3.5331196201091193
88,Electrocyclic,02_89,31.569,28.62,2.949,55.378,52.88,2.498,-23.809,-24.26,0.451,29.439,0.819,52.893,0.013,-23.455,0.805,23.527,-5.093,39.857,-13.023,-16.33,7.93,26.347,-2.273,46.446,-6.434,-20.099,4.161,8.041999999999998,3.523073421507609,15.521,6.96283775961114,7.479000000000003,3.4887746057892595
89,Electrocyclic,02_90,30.436,27.43,3.006,54.5,52.17,2.33,-24.064,-24.74,0.676,28.269,0.839,52.068,-0.102,-23.798,0.942,22.214,-5.216,39.18,-12.99,-16.966,7.774,25.165,-2.265,45.681,-6.489,-20.515,4.225,8.222000000000001,3.5949832637533476,15.32,6.877191159914053,7.097999999999999,3.3303837992039287
90,Electrocyclic,02_91,34.165,31.0,3.165,57.119,54.55,2.569,-22.954,-23.55,0.596,31.822,0.822,54.599,0.049,-22.777,0.773,25.687,-5.313,41.625,-12.925,-15.937,7.613,28.722,-2.278,48.199,-6.351,-19.477,4.073,8.477999999999998,3.690662000237897,15.494,6.943120023927763,7.017000000000001,3.311172337707599
91,Electrocyclic,02_92,26.766,23.66,3.106,56.076,53.48,2.596,-29.31,-29.82,0.51,25.075,1.415,53.706,0.226,-28.631,1.189,18.269,-5.391,40.073,-13.407,-21.804,8.016,21.326,-2.334,46.852,-6.628,-25.526,4.294,8.497,3.811976477716864,16.003,7.22026044659517,7.506,3.4305243889722363
92,Electrocyclic,02_93,31.917,28.69,3.227,57.604,54.95,2.654,-25.687,-26.26,0.573,29.855,1.165,55.27,0.32,-25.415,0.845,22.815,-5.875,40.959,-13.991,-18.144,8.116,26.132,-2.558,48.027,-6.923,-21.896,4.364,9.102,4.031018181965114,16.644999999999996,7.535719961180439,7.543000000000003,3.543430776333393
93,Electrocyclic,02_94,28.854,25.6,3.254,57.332,54.46,2.872,-28.478,-28.86,0.382,26.917,1.317,54.724,0.264,-27.807,1.053,20.15,-5.45,41.643,-12.817,-21.493,7.367,23.286,-2.314,48.292,-6.168,-25.006,3.854,8.704,3.8657163523293674,15.689,7.019973711964074,6.985000000000003,3.1799975890976193
94,Electrocyclic,02_95,31.263,28.02,3.243,58.683,55.88,2.803,-27.42,-27.86,0.44,29.213,1.193,56.044,0.164,-26.831,1.029,22.525,-5.495,42.724,-13.156,-20.199,7.661,25.663,-2.357,49.488,-6.392,-23.825,4.035,8.738000000000003,3.8632243873048164,15.959000000000003,7.143512552192608,7.221,3.311358268646468
95,Electrocyclic,02_96,8.794,11.39,-2.596,15.432,15.19,0.242,-6.638,-3.8,-2.838,9.006,-2.384,15.501,0.311,-6.495,-2.695,1.589,-9.801,15.403,0.213,-13.814,-10.014,4.949,-6.441,15.645,0.455,-10.696,-6.896,7.417,3.529656876619407,0.2419999999999991,0.1079641144084455,7.319,3.522793340045179
96,Electrocyclic,02_97,45.492,43.52,1.972,23.641,21.76,1.881,21.851,21.76,0.091,43.218,-0.302,22.145,0.385,21.073,-0.687,30.425,-13.095,17.812,-3.948,12.613,-9.147,36.948,-6.572,20.007,-1.753,16.941,-4.819,15.066999999999997,6.774392832571786,5.828999999999997,2.542721163766617,9.238,4.256667671626089
97,Electrocyclic,02_98,34.966,33.08,1.886,51.048,45.42,5.628,-16.082,-12.34,-3.742,33.086,0.006,48.266,2.846,-15.18,-2.84,24.468,-8.612,44.646,-0.774,-20.178,-7.838,28.995,-4.085,46.928,1.508,-17.933,-5.593,10.498000000000001,4.662752933264496,6.402000000000001,2.673974819128508,4.998000000000001,2.2101293137129634
98,Electrocyclic,02_99,47.624,44.28,3.344,61.371,54.35,7.021,-13.747,-10.07,-3.677,45.765,1.485,58.539,4.189,-12.775,-2.705,35.512,-8.768,53.59,-0.76,-18.077,-8.007,40.821,-3.459,56.567,2.217,-15.747,-5.677,12.112000000000002,5.43284655283643,7.780999999999999,3.277276753139207,5.302000000000001,2.3463903483151882
99,Electrocyclic,02_100,38.678,36.07,2.608,22.555,19.79,2.765,16.124,16.28,-0.156,36.792,0.722,20.872,1.082,15.92,-0.36,27.808,-8.262,19.819,0.029,7.989,-8.291,32.507,-3.563,20.512,0.722,11.995,-4.285,10.869999999999997,4.838639779593709,2.7360000000000007,1.1622783659691855,8.134999999999998,3.8473248714745503
100,Electrocyclic,02_101,45.26,41.8,3.46,52.28,45.81,6.47,-7.019,-4.01,-3.009,43.401,1.601,49.956,4.146,-6.555,-2.545,32.579,-9.221,43.579,-2.231,-11.0,-6.99,38.16,-3.64,46.967,1.157,-8.807,-4.797,12.680999999999997,5.703836194468888,8.701,3.768456138349851,4.445,2.0186501058875956
101,Electrocyclic,02_102,43.675,38.73,4.945,39.278,36.55,2.728,4.396,2.18,2.216,41.222,2.492,37.387,0.837,3.834,1.654,37.002,-1.728,28.023,-8.527,8.979,6.799,39.432,0.702,32.934,-3.616,6.498,4.318,6.672999999999995,2.8205582632994224,11.254999999999999,5.017709205072237,5.145,2.335619457445925
102,Electrocyclic,02_103,41.203,36.24,4.963,39.38,36.68,2.7,1.823,-0.44,2.263,38.977,2.737,37.495,0.815,1.482,1.922,34.538,-1.702,27.929,-8.751,6.609,7.049,37.009,0.769,32.921,-3.759,4.088,4.528,6.665000000000006,2.8379940539049784,11.451000000000004,5.113276860292235,5.127,2.3732029692660785
103,Electrocyclic,02_104,15.044,13.1,1.944,42.758,40.49,2.268,-27.714,-27.39,-0.324,14.079,0.979,40.837,0.347,-26.758,0.632,13.946,0.846,30.978,-9.512,-17.032,10.358,14.042,0.942,36.159,-4.331,-22.117,5.273,1.0980000000000008,0.5138990659652927,11.780000000000001,5.259370748166236,10.681999999999999,4.901841924215835
104,Electrocyclic,02_105,55.353,48.25,7.103,45.695,42.24,3.455,9.658,6.01,3.648,53.022,4.772,43.876,1.636,9.146,3.136,47.555,-0.695,33.797,-8.443,13.758,7.748,50.569,2.319,39.037,-3.203,11.533,5.523,7.798000000000002,3.3431336970971812,11.898000000000003,5.335883955197428,4.611999999999998,2.0917836687063662
105,[4+6]cycloaddition,02_106,14.972,11.53,3.442,26.025,29.79,-3.765,-11.053,-18.26,7.207,14.307,2.777,26.204,-3.586,-11.897,6.363,4.051,-7.479,1.941,-27.849,2.11,20.37,7.701,-3.829,11.932,-17.858,-4.231,14.029,10.921,5.28145481062431,24.263,11.800024646866914,14.007,6.555458762232689
106,[6+4]cycloaddition,02_107,14.972,11.53,3.442,32.383,36.38,-3.997,-17.412,-24.85,7.438,14.307,2.777,32.24,-4.14,-17.933,6.917,4.051,-7.479,8.128,-28.252,-4.077,20.773,7.701,-3.829,18.245,-18.135,-10.544,14.306,10.921,5.28145481062431,24.255000000000003,11.789157363159308,13.856,6.542624575301057
107,[8+2]cycloaddition,02_108,14.972,11.53,3.442,31.69,35.01,-3.32,-16.718,-23.48,6.762,14.307,2.777,31.777,-3.233,-17.471,6.009,4.051,-7.479,6.96,-28.05,-2.909,20.571,7.701,-3.829,17.312,-17.698,-9.611,13.869,10.921,5.28145481062431,24.817,12.078186160043513,14.562000000000001,6.834429914045502
108,"[3,3]rearrangement",02_109,52.404,43.45,8.954,60.207,50.58,9.627,-7.803,-7.13,-0.673,49.238,5.788,57.273,6.693,-8.035,-0.905,39.065,-4.385,48.626,-1.954,-9.561,-2.431,44.045,0.595,53.205,2.625,-9.16,-2.03,13.339000000000006,5.867160982962716,11.581000000000003,5.03357390429504,1.758,0.8534703177810774
109,"[3,3]rearrangement",02_110,52.404,43.45,8.954,65.77,57.37,8.4,-13.367,-13.92,0.553,49.238,5.788,61.647,4.277,-12.409,1.511,39.065,-4.385,51.105,-6.265,-12.04,1.88,44.045,0.595,56.569,-0.801,-12.524,1.396,13.339000000000006,5.867160982962716,14.665,6.347538230159258,1.3270000000000017,0.5607275036355307
110,"[3,3]rearrangement",02_111,46.998,36.96,10.038,60.905,51.17,9.735,-13.907,-14.22,0.313,43.947,6.987,56.94,5.77,-12.993,1.227,34.288,-2.672,46.771,-4.399,-12.483,1.737,39.023,2.063,52.046,0.876,-13.023,1.197,12.71,5.5858124446374555,14.134,6.117995886453886,1.4239999999999995,0.5914127154534301
111,[4+6]cycloaddition,02_112,16.037,12.84,3.197,27.016,31.12,-4.104,-10.979,-18.28,7.301,15.272,2.432,27.178,-3.942,-11.906,6.374,5.128,-7.712,2.966,-28.154,2.163,20.443,8.791,-4.049,12.95,-18.17,-4.158,14.122,10.908999999999999,5.247361940378549,24.212,11.777868666840082,14.069,6.570266610521473
112,[6+4]cycloaddition,02_113,16.037,12.84,3.197,32.347,36.75,-4.403,-16.31,-23.91,7.6,15.272,2.432,32.204,-4.546,-16.932,6.978,5.128,-7.712,8.207,-28.543,-3.078,20.832,8.791,-4.049,18.284,-18.466,-9.493,14.417,10.908999999999999,5.247361940378549,24.14,11.73206558965641,13.854,6.5215569396170014
113,[8+2]cycloaddition,02_114,16.037,12.84,3.197,34.204,37.94,-3.736,-18.167,-25.1,6.933,15.272,2.432,34.191,-3.749,-18.92,6.18,5.128,-7.712,9.866,-28.074,-4.738,20.362,8.791,-4.049,20.125,-17.815,-11.334,13.766,10.908999999999999,5.247361940378549,24.338,11.851025679942927,14.182000000000002,6.644412909856422
114,[4+6]cycloaddition,02_115,15.804,11.83,3.974,26.784,30.11,-3.326,-10.98,-18.28,7.3,15.054,3.224,26.961,-3.149,-11.906,6.374,4.921,-6.909,2.758,-27.352,2.163,20.443,8.584,-3.246,12.742,-17.368,-4.159,14.121,10.883,5.236782942163379,24.203,11.768967651554377,14.069,6.570403463004891
115,[6+4]cycloaddition,02_116,15.804,11.83,3.974,32.161,35.81,-3.649,-16.356,-23.98,7.624,15.054,3.224,32.077,-3.733,-17.023,6.957,4.921,-6.909,7.884,-27.926,-2.963,21.017,8.584,-3.246,18.025,-17.785,-9.442,14.538,10.883,5.236782942163379,24.277,11.813855266169465,14.059999999999999,6.612824257960185
116,[8+2]cycloaddition,02_117,15.804,11.83,3.974,37.286,40.21,-2.924,-21.481,-28.38,6.899,15.054,3.224,37.798,-2.412,-22.744,5.636,4.921,-6.909,13.076,-27.134,-8.155,20.225,8.584,-3.246,23.256,-16.954,-14.673,13.707,10.883,5.236782942163379,24.722,11.935614046485698,14.589,6.745310685950649
117,[4+2]intramolecular,02_118,26.328,22.52,3.808,40.711,41.61,-0.899,-14.383,-19.09,4.707,25.335,2.815,40.172,-1.438,-14.837,4.253,14.641,-7.879,16.314,-25.296,-1.673,17.417,18.628,-3.892,26.777,-14.833,-8.149,10.941,11.687,5.568540143819862,24.397,11.718095138147097,13.164,6.195238682515253
118,[6+4]intramolecular,02_119,22.758,18.91,3.848,45.906,47.58,-1.674,-23.148,-28.67,5.522,22.001,3.091,44.898,-2.682,-22.897,5.773,11.705,-7.205,20.995,-26.585,-9.29,19.38,15.417,-3.493,31.678,-15.902,-16.261,12.409,11.052999999999999,5.321088195410158,24.910999999999998,11.847145461389987,13.858,6.565818811592859
119,[4+2]intramolecular,02_120,20.278,16.79,3.488,41.301,43.12,-1.819,-21.023,-26.33,5.307,19.38,2.59,40.544,-2.576,-21.164,5.166,8.533,-8.257,16.944,-26.176,-8.41,17.92,12.53,-4.26,27.39,-15.73,-14.86,11.47,11.745,5.622416821676126,24.357000000000003,11.642089771600286,12.754000000000001,6.062848965901537
120,[6+4]intramolecular,02_121,20.278,16.79,3.488,53.349,54.33,-0.981,-33.071,-37.54,4.469,19.38,2.59,51.89,-2.44,-32.51,5.03,8.533,-8.257,26.829,-27.501,-18.296,19.244,12.53,-4.26,38.173,-16.157,-25.643,11.897,11.745,5.622416821676126,26.519999999999996,12.518806529244975,14.774999999999999,6.9339888952896365
121,[4+2]intramolecular,02_122,23.71,19.29,4.42,35.942,37.46,-1.518,-12.232,-18.17,5.938,22.194,2.904,34.743,-2.717,-12.549,5.621,11.088,-8.202,10.519,-26.941,0.569,18.739,15.257,-4.033,21.301,-16.159,-6.044,12.126,12.622000000000002,5.929531424713649,25.423000000000002,12.06187684055291,13.117999999999999,6.193990044120725
122,[6+4]intramolecular,02_123,23.71,19.29,4.42,41.807,41.95,-0.143,-18.097,-22.66,4.563,22.194,2.904,40.606,-1.344,-18.412,4.248,11.088,-8.202,16.592,-25.358,-5.504,17.156,15.257,-4.033,27.281,-14.669,-12.024,10.636,12.622000000000002,5.929531424713649,25.215000000000003,11.960789564238643,12.908,6.093012466478849
123,[4+2]intramolecular,02_124,26.296,21.68,4.616,45.566,46.02,-0.454,-19.27,-24.34,5.07,24.806,3.126,44.271,-1.749,-19.465,4.875,15.741,-5.939,21.283,-24.737,-5.542,18.798,19.224,-2.456,31.639,-14.381,-12.414,11.926,10.555,4.908373347318505,24.283,11.476660181283869,13.923,6.622509966017416
124,[6+4]intramolecular,02_125,26.296,21.68,4.616,46.273,47.32,-1.047,-19.977,-25.64,5.663,24.806,3.126,44.76,-2.56,-19.953,5.687,15.741,-5.939,23.092,-24.228,-7.351,18.289,19.224,-2.456,32.98,-14.34,-13.756,11.884,10.555,4.908373347318505,23.181000000000004,10.88728213329663,12.626000000000001,6.03016397648798
125,"[3,3]rearrangement",02_126,22.368,20.25,2.118,27.563,26.19,1.373,-5.196,-5.95,0.754,21.609,1.359,26.336,0.146,-4.726,1.224,9.196,-11.054,13.877,-12.313,-4.681,1.269,14.509,-5.741,19.41,-6.78,-4.901,1.049,13.171999999999999,6.248747101086211,13.685999999999998,6.384184756098462,0.5149999999999997,0.23348804394800732
126,"[3,3]rearrangement",02_127,22.199,20.95,1.249,34.247,32.16,2.087,-12.048,-11.21,-0.838,21.516,0.566,32.862,0.702,-11.346,-0.136,8.819,-12.131,18.705,-13.455,-9.886,1.324,14.245,-6.705,25.029,-7.131,-10.783,0.427,13.38,6.365792245798371,15.542000000000002,7.246913291188188,2.162000000000001,0.9138039085784948
127,"[3,3]rearrangement",02_128,34.365,32.74,1.625,47.495,41.45,6.045,-13.13,-8.71,-4.42,32.403,-0.337,45.475,4.025,-13.073,-4.363,17.532,-15.208,34.969,-6.481,-17.436,-8.726,24.368,-8.372,39.967,-1.483,-15.599,-6.889,16.833000000000002,7.74369692072204,12.525999999999996,5.652034766347425,4.3629999999999995,2.1101315124892097
128,"[3,3]rearrangement",02_129,35.937,34.42,1.517,44.569,40.15,4.419,-8.632,-5.73,-2.902,34.13,-0.29,42.695,2.545,-8.565,-2.835,17.674,-16.746,30.779,-9.371,-13.105,-7.375,25.146,-9.274,36.321,-3.829,-11.175,-5.445,18.262999999999998,8.468525427526723,13.790000000000003,6.291781517715525,4.540000000000001,2.1914163418513914
129,"[3,3]rearrangement",02_130,37.257,35.4,1.857,48.276,43.32,4.956,-11.019,-7.92,-3.099,35.36,-0.04,46.127,2.807,-10.768,-2.848,19.314,-16.086,34.533,-8.787,-15.219,-7.299,26.65,-8.75,40.071,-3.249,-13.422,-5.502,17.942999999999998,8.292634377365655,13.743000000000002,6.208701494676646,4.450999999999999,2.112694488088611
130,"[3,3]rearrangement",02_131,33.37,32.39,0.98,49.377,43.38,5.997,-16.007,-10.99,-5.017,31.385,-1.005,47.164,3.784,-15.779,-4.789,16.762,-15.628,36.591,-6.789,-19.829,-8.839,23.49,-8.9,41.701,-1.679,-18.211,-7.221,16.607999999999997,7.631128285952652,12.786000000000001,5.737631182233077,4.050000000000001,1.9246716603098823
131,"[3,3]rearrangement",02_132,34.426,32.92,1.506,46.327,41.1,5.227,-11.902,-8.18,-3.722,32.651,-0.269,44.348,3.248,-11.697,-3.517,16.543,-16.377,32.604,-8.496,-16.061,-7.881,23.847,-9.073,38.111,-2.989,-14.264,-6.084,17.883000000000003,8.292537061519031,13.722999999999999,6.2375781892226945,4.364000000000001,2.0772887778704883
132,"[3,3]rearrangement",02_133,35.821,33.84,1.981,50.763,44.83,5.933,-14.942,-10.99,-3.952,33.927,0.087,48.549,3.719,-14.623,-3.633,18.291,-15.549,36.927,-7.903,-18.636,-7.646,25.441,-8.399,42.489,-2.341,-17.048,-6.058,17.529999999999998,8.094502908352885,13.835999999999999,6.241835307023087,4.013,1.8861152978189497
133,"[3,3]rearrangement",02_134,35.711,32.08,3.631,52.851,49.61,3.241,-17.14,-17.53,0.39,33.609,1.529,50.088,0.478,-16.479,1.051,21.0,-11.08,37.444,-12.166,-16.444,1.086,27.128,-4.952,43.863,-5.747,-16.735,0.795,14.710999999999999,6.664848335358678,15.406999999999996,6.86548665427295,0.6960000000000015,0.3210404958879805
134,"[3,3]rearrangement",02_135,32.357,28.35,4.007,46.537,44.42,2.117,-14.181,-16.07,1.889,30.216,1.866,43.981,-0.439,-13.764,2.306,16.733,-11.617,29.568,-14.852,-12.834,3.236,23.208,-5.142,36.604,-7.816,-13.395,2.675,15.623999999999999,7.101798105644326,16.968999999999998,7.663792468484516,1.3469999999999995,0.5716843534678903
135,"[3,3]rearrangement",02_136,32.085,29.79,2.295,48.023,45.83,2.193,-15.938,-16.04,0.102,30.484,0.694,45.558,-0.272,-15.073,0.967,15.282,-14.508,29.561,-16.269,-14.279,1.761,22.437,-7.353,37.395,-8.435,-14.958,1.082,16.803,7.773013958562021,18.462000000000003,8.385434728344938,1.6590000000000007,0.6810291232147616
136,"[3,3]rearrangement",02_137,29.737,25.98,3.757,42.824,41.35,1.474,-13.087,-15.37,2.283,27.642,1.662,40.761,-0.589,-13.119,2.251,10.052,-15.928,23.644,-17.706,-13.592,1.778,18.348,-7.632,31.69,-9.66,-13.342,2.028,19.685,9.065537872441253,19.18,8.832266465447399,0.5050000000000008,0.23399287738447694
137,"[3,3]rearrangement",02_138,33.363,31.94,1.423,28.139,28.09,0.049,5.223,3.85,1.373,32.185,0.245,27.405,-0.685,4.78,0.93,17.065,-14.875,14.744,-13.346,2.321,-1.529,24.127,-7.813,20.363,-7.727,3.763,-0.087,16.298,7.614316515617143,13.395,6.337026136130417,2.9019999999999997,1.2880795459390955
