,Name,b97m-v-DFT-forward,b97m-v-DFT-reverse,b97m-v-DFT-reaction
0,rxn_33,10.15,45.835,-35.685
1,rxn_365,25.002,55.82,-30.818
4,rxn_632,9.839,46.341,-36.502
11,rxn_853,24.417,26.234,-1.817
13,rxn_1017,25.77,29.523,-3.753
14,rxn_1024,16.635,25.548,-8.913
16,rxn_1093,22.108,28.457,-6.349
17,rxn_1181,20.379,27.901,-7.522
20,rxn_1285,24.469,34.996,-10.527
23,rxn_1394,18.324,24.342,-6.017
24,rxn_1424,21.603,28.199,-6.596
25,rxn_1441,26.217,31.061,-4.845
26,rxn_1466,4.572,54.052,-49.48
27,rxn_1479,15.492,59.751,-44.259
33,rxn_1708,13.019,40.327,-27.309
35,rxn_1779,12.405,38.457,-26.052
36,rxn_1814,11.138,46.016,-34.879
39,rxn_2012,11.535,43.488,-31.953
40,rxn_2211,20.329,52.114,-31.785
42,rxn_2310,11.355,46.402,-35.047
43,rxn_2334,12.015,50.152,-38.138
45,rxn_2482,11.724,49.201,-37.477
46,rxn_2530,12.776,50.703,-37.927
50,rxn_2890,10.253,46.364,-36.111
54,rxn_3225,11.507,41.338,-29.831
56,rxn_3483,20.081,37.962,-17.881
57,rxn_3536,20.488,38.202,-17.713
61,rxn_4392,1.56,20.172,-18.612
62,rxn_4581,14.93,34.778,-19.848
64,rxn_5245,27.517,34.403,-6.886
65,rxn_5345,30.547,39.461,-8.914
66,rxn_5374,28.749,36.086,-7.337
69,rxn_5534,33.729,36.207,-2.478
74,rxn_5751,22.072,34.23,-12.157
79,rxn_5956,31.574,50.835,-19.261
83,rxn_6105,29.041,39.289,-10.248
90,rxn_6322,57.375,53.242,4.133
94,rxn_6583,43.724,29.634,14.089
95,rxn_6612,24.948,15.001,9.947
97,rxn_7236,28.575,30.437,-1.862
102,rxn_7911,31.392,68.398,-37.007
