,Name,pbe-qidh-DFT-forward,pbe-qidh-DFT-reverse,pbe-qidh-DFT-reaction
0,rxn_33,10.502,56.263,-45.761
1,rxn_365,24.995,65.841,-40.846
4,rxn_632,10.801,55.921,-45.12
11,rxn_853,20.364,31.626,-11.262
13,rxn_1017,25.305,34.964,-9.659
14,rxn_1024,14.337,31.774,-17.437
16,rxn_1093,21.556,34.378,-12.822
17,rxn_1181,17.283,33.547,-16.264
20,rxn_1285,21.972,40.409,-18.437
23,rxn_1394,16.023,30.952,-14.929
24,rxn_1424,20.548,34.357,-13.809
25,rxn_1441,26.15,37.156,-11.006
26,rxn_1466,4.612,56.253,-51.641
27,rxn_1479,17.075,62.488,-45.413
33,rxn_1708,11.989,51.041,-39.052
35,rxn_1779,10.341,48.917,-38.576
36,rxn_1814,8.365,55.259,-46.894
39,rxn_2012,10.16,53.058,-42.897
40,rxn_2211,18.609,61.438,-42.828
42,rxn_2310,14.399,57.515,-43.116
43,rxn_2334,10.087,57.681,-47.594
45,rxn_2482,9.308,56.306,-46.998
46,rxn_2530,10.817,57.559,-46.743
50,rxn_2890,9.216,55.95,-46.734
54,rxn_3225,11.398,48.767,-37.369
56,rxn_3483,18.167,44.251,-26.084
57,rxn_3536,17.688,45.234,-27.546
61,rxn_4392,7.804,36.588,-28.784
62,rxn_4581,21.048,49.053,-28.005
64,rxn_5245,35.415,36.622,-1.208
65,rxn_5345,36.047,39.862,-3.815
66,rxn_5374,34.918,38.425,-3.508
69,rxn_5534,36.66,35.431,1.229
74,rxn_5751,28.177,42.683,-14.507
79,rxn_5956,40.942,61.364,-20.421
83,rxn_6105,38.083,48.943,-10.86
90,rxn_6322,58.693,59.499,-0.806
94,rxn_6583,45.042,40.097,4.945
95,rxn_6612,25.283,22.033,3.25
97,rxn_7236,26.758,35.028,-8.27
102,rxn_7911,29.421,76.102,-46.681
