,Name,pbe0-dh-DFT-forward,pbe0-dh-DFT-reverse,pbe0-dh-DFT-reaction
0,rxn_33,16.311,56.893,-40.582
1,rxn_365,29.335,66.199,-36.865
4,rxn_632,16.893,56.881,-39.988
11,rxn_853,24.23,32.135,-7.905
13,rxn_1017,30.113,35.191,-5.078
14,rxn_1024,16.556,31.934,-15.378
16,rxn_1093,26.319,34.553,-8.234
17,rxn_1181,19.482,33.772,-14.291
20,rxn_1285,24.178,40.584,-16.406
23,rxn_1394,18.701,30.916,-12.215
24,rxn_1424,24.891,34.507,-9.616
25,rxn_1441,30.123,37.185,-7.061
26,rxn_1466,9.334,57.383,-48.049
27,rxn_1479,22.976,62.66,-39.684
33,rxn_1708,16.085,51.45,-35.366
35,rxn_1779,14.413,49.416,-35.003
36,rxn_1814,10.545,55.399,-44.854
39,rxn_2012,13.476,53.403,-39.927
40,rxn_2211,21.219,61.495,-40.276
42,rxn_2310,18.554,56.679,-38.125
43,rxn_2334,15.142,58.328,-43.186
45,rxn_2482,14.31,56.837,-42.526
46,rxn_2530,16.182,57.989,-41.806
50,rxn_2890,13.608,56.166,-42.558
54,rxn_3225,15.44,49.583,-34.143
56,rxn_3483,22.859,44.859,-22.0
57,rxn_3536,21.401,45.45,-24.05
61,rxn_4392,8.145,36.0,-27.855
62,rxn_4581,25.592,47.332,-21.739
64,rxn_5245,36.681,38.797,-2.116
65,rxn_5345,37.287,41.743,-4.455
66,rxn_5374,35.757,40.721,-4.964
69,rxn_5534,37.624,37.782,-0.158
74,rxn_5751,29.909,43.185,-13.276
79,rxn_5956,41.282,60.937,-19.655
83,rxn_6105,39.613,48.78,-9.167
90,rxn_6322,59.505,60.688,-1.183
94,rxn_6583,47.041,40.914,6.127
95,rxn_6612,26.082,21.566,4.516
97,rxn_7236,28.22,35.715,-7.494
102,rxn_7911,31.446,76.893,-45.448
