,Name,m062x-DFT-forward,m062x-DFT-reverse,m062x-DFT-reaction
0,rxn_33,12.371,52.259,-39.888
1,rxn_365,27.259,62.236,-34.977
4,rxn_632,12.601,51.002,-38.4
11,rxn_853,24.245,27.945,-3.7
13,rxn_1017,27.827,31.519,-3.692
14,rxn_1024,17.776,27.595,-9.819
16,rxn_1093,23.769,31.072,-7.303
17,rxn_1181,20.96,29.306,-8.346
20,rxn_1285,25.053,35.622,-10.569
23,rxn_1394,19.572,27.437,-7.866
24,rxn_1424,23.027,30.902,-7.875
25,rxn_1441,28.933,33.808,-4.875
26,rxn_1466,8.16,51.594,-43.434
27,rxn_1479,19.54,57.456,-37.916
33,rxn_1708,16.104,46.92,-30.816
35,rxn_1779,14.874,44.833,-29.959
36,rxn_1814,11.875,49.803,-37.929
39,rxn_2012,13.485,47.609,-34.124
40,rxn_2211,21.614,56.246,-34.632
42,rxn_2310,16.286,52.285,-36.0
43,rxn_2334,12.992,53.236,-40.244
45,rxn_2482,12.082,51.602,-39.52
46,rxn_2530,13.843,53.499,-39.656
50,rxn_2890,12.519,51.067,-38.548
54,rxn_3225,12.967,47.617,-34.65
56,rxn_3483,19.384,42.93,-23.546
57,rxn_3536,19.548,45.123,-25.575
61,rxn_4392,8.369,36.557,-28.188
62,rxn_4581,21.147,45.755,-24.608
64,rxn_5245,35.515,36.817,-1.302
65,rxn_5345,36.716,41.079,-4.363
66,rxn_5374,35.061,39.047,-3.986
69,rxn_5534,40.06,39.854,0.207
74,rxn_5751,30.536,42.332,-11.796
79,rxn_5956,42.371,60.416,-18.044
83,rxn_6105,38.828,48.807,-9.98
90,rxn_6322,63.582,61.733,1.849
94,rxn_6583,47.207,39.604,7.603
95,rxn_6612,28.0,21.747,6.252
97,rxn_7236,30.44,35.642,-5.202
102,rxn_7911,32.414,69.103,-36.688
