,Name,wb97x-v-DFT-forward,wb97x-v-DFT-reverse,wb97x-v-DFT-reaction
0,rxn_33,12.73,62.076,-49.346
1,rxn_365,28.719,70.737,-42.017
4,rxn_632,13.439,61.466,-48.027
11,rxn_853,23.431,36.114,-12.683
13,rxn_1017,26.516,39.198,-12.682
14,rxn_1024,18.498,35.273,-16.775
16,rxn_1093,23.705,38.757,-15.053
17,rxn_1181,21.415,36.791,-15.376
20,rxn_1285,25.29,43.316,-18.026
23,rxn_1394,19.594,35.076,-15.481
24,rxn_1424,23.338,38.661,-15.323
25,rxn_1441,27.96,41.265,-13.304
26,rxn_1466,7.725,60.93,-53.205
27,rxn_1479,17.508,66.424,-48.916
33,rxn_1708,17.316,56.192,-38.876
35,rxn_1779,16.004,54.021,-38.017
36,rxn_1814,13.617,58.095,-44.478
39,rxn_2012,15.363,57.19,-41.827
40,rxn_2211,23.114,64.945,-41.83
42,rxn_2310,18.625,60.32,-41.695
43,rxn_2334,14.418,60.721,-46.303
45,rxn_2482,13.608,59.329,-45.721
46,rxn_2530,14.809,61.056,-46.247
50,rxn_2890,14.185,59.265,-45.08
54,rxn_3225,11.833,52.308,-40.475
56,rxn_3483,18.046,48.139,-30.093
57,rxn_3536,18.397,49.736,-31.339
61,rxn_4392,9.817,40.819,-31.002
62,rxn_4581,20.491,52.03,-31.539
64,rxn_5245,40.439,43.412,-2.973
65,rxn_5345,41.611,47.168,-5.557
66,rxn_5374,39.546,45.265,-5.719
69,rxn_5534,42.568,42.087,0.481
74,rxn_5751,32.404,47.708,-15.304
79,rxn_5956,44.443,65.833,-21.39
83,rxn_6105,40.88,53.42,-12.539
90,rxn_6322,66.294,65.382,0.912
94,rxn_6583,48.172,44.939,3.233
95,rxn_6612,27.76,24.2,3.56
97,rxn_7236,28.906,38.907,-10.001
102,rxn_7911,34.551,78.501,-43.95
