,Name,wb97m-v-DFT-forward,wb97m-v-DFT-reverse,wb97m-v-DFT-reaction
0,rxn_33,11.027,56.985,-45.958
1,rxn_365,27.022,65.834,-38.813
4,rxn_632,11.736,56.379,-44.642
11,rxn_853,22.815,32.356,-9.54
13,rxn_1017,25.536,35.535,-9.999
14,rxn_1024,18.062,31.407,-13.346
16,rxn_1093,22.387,35.024,-12.637
17,rxn_1181,21.022,32.908,-11.886
20,rxn_1285,24.92,39.337,-14.417
23,rxn_1394,19.218,31.292,-12.074
24,rxn_1424,22.112,34.907,-12.795
25,rxn_1441,27.099,37.576,-10.477
26,rxn_1466,6.877,56.663,-49.786
27,rxn_1479,16.214,62.424,-46.21
33,rxn_1708,15.886,51.415,-35.529
35,rxn_1779,14.637,49.289,-34.652
36,rxn_1814,12.611,53.347,-40.736
39,rxn_2012,14.087,52.371,-38.284
40,rxn_2211,21.998,60.179,-38.181
42,rxn_2310,16.838,57.091,-40.253
43,rxn_2334,12.333,56.653,-44.319
45,rxn_2482,11.613,55.38,-43.767
46,rxn_2530,12.695,57.104,-44.408
50,rxn_2890,12.526,55.393,-42.867
54,rxn_3225,10.855,48.961,-38.105
56,rxn_3483,17.048,45.127,-28.079
57,rxn_3536,17.729,47.012,-29.283
61,rxn_4392,9.185,37.901,-28.715
62,rxn_4581,19.172,48.965,-29.792
64,rxn_5245,37.055,40.295,-3.24
65,rxn_5345,38.516,44.324,-5.808
66,rxn_5374,36.553,42.305,-5.752
69,rxn_5534,41.016,40.901,0.115
74,rxn_5751,29.78,44.246,-14.466
79,rxn_5956,41.651,62.022,-20.371
83,rxn_6105,37.93,49.959,-12.029
90,rxn_6322,65.637,60.642,4.995
94,rxn_6583,47.491,41.28,6.211
95,rxn_6612,28.155,21.751,6.404
97,rxn_7236,28.516,36.043,-7.527
102,rxn_7911,33.215,73.154,-39.938
