,Name,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction
0,rxn_33,31.585,57.864,-26.28
1,rxn_365,44.525,65.485,-20.96
4,rxn_632,33.201,59.486,-26.285
11,rxn_853,37.884,33.333,4.551
13,rxn_1017,44.618,36.561,8.056
14,rxn_1024,28.125,32.294,-4.17
16,rxn_1093,41.127,35.198,5.929
17,rxn_1181,31.359,34.375,-3.016
20,rxn_1285,35.387,41.6,-6.212
23,rxn_1394,30.383,32.155,-1.772
24,rxn_1424,39.56,35.236,4.324
25,rxn_1441,43.502,38.358,5.144
26,rxn_1466,25.703,55.594,-29.89
27,rxn_1479,38.599,57.316,-18.717
33,rxn_1708,30.618,50.507,-19.89
35,rxn_1779,28.881,48.566,-19.685
36,rxn_1814,22.272,53.475,-31.202
39,rxn_2012,27.343,53.395,-26.052
40,rxn_2211,33.75,61.066,-27.315
42,rxn_2310,32.261,53.131,-20.87
43,rxn_2334,29.582,56.927,-27.346
45,rxn_2482,28.583,55.247,-26.664
46,rxn_2530,30.856,56.184,-25.328
50,rxn_2890,27.165,54.545,-27.38
54,rxn_3225,26.543,53.256,-26.713
56,rxn_3483,35.407,48.623,-13.216
57,rxn_3536,31.563,48.485,-16.921
61,rxn_4392,14.727,39.678,-24.952
62,rxn_4581,39.646,45.656,-6.01
64,rxn_5245,42.145,43.321,-1.176
65,rxn_5345,42.93,46.575,-3.644
66,rxn_5374,40.908,46.401,-5.493
69,rxn_5534,47.601,46.58,1.021
74,rxn_5751,35.415,46.365,-10.95
79,rxn_5956,45.148,63.916,-18.767
83,rxn_6105,44.959,50.594,-5.636
90,rxn_6322,70.848,63.214,7.634
94,rxn_6583,57.235,43.922,13.313
95,rxn_6612,34.52,22.447,12.073
97,rxn_7236,36.613,38.356,-1.743
102,rxn_7911,43.797,77.349,-33.552
