,Name,wb2-plyp-DFT-forward,wb2-plyp-DFT-reverse,wb2-plyp-DFT-reaction
0,rxn_33,12.349,59.194,-46.846
1,rxn_365,28.063,69.081,-41.018
4,rxn_632,13.082,59.303,-46.222
11,rxn_853,23.146,33.762,-10.616
13,rxn_1017,26.845,37.008,-10.163
14,rxn_1024,17.269,33.358,-16.089
16,rxn_1093,23.345,36.511,-13.165
17,rxn_1181,20.272,35.099,-14.827
20,rxn_1285,24.353,41.793,-17.441
23,rxn_1394,18.508,33.244,-14.736
24,rxn_1424,22.545,36.448,-13.903
25,rxn_1441,27.91,39.314,-11.404
26,rxn_1466,6.918,56.588,-49.67
27,rxn_1479,18.362,62.367,-44.005
33,rxn_1708,16.005,53.528,-37.524
35,rxn_1779,14.41,51.444,-37.033
36,rxn_1814,11.769,56.56,-44.791
39,rxn_2012,13.409,54.967,-41.558
40,rxn_2211,21.748,63.376,-41.628
42,rxn_2310,16.861,58.966,-42.106
43,rxn_2334,12.336,59.043,-46.706
45,rxn_2482,11.454,57.617,-46.163
46,rxn_2530,13.053,59.13,-46.077
50,rxn_2890,11.992,57.604,-45.612
54,rxn_3225,10.984,51.091,-40.107
56,rxn_3483,18.226,46.708,-28.482
57,rxn_3536,17.345,47.952,-30.606
61,rxn_4392,6.599,39.465,-32.866
62,rxn_4581,22.283,51.477,-29.194
64,rxn_5245,39.171,40.261,-1.091
65,rxn_5345,39.843,43.335,-3.492
66,rxn_5374,38.367,42.099,-3.732
69,rxn_5534,41.684,39.845,1.839
74,rxn_5751,31.802,45.027,-13.224
79,rxn_5956,44.238,63.801,-19.563
83,rxn_6105,41.173,51.081,-9.908
90,rxn_6322,65.422,62.577,2.845
94,rxn_6583,48.563,42.515,6.048
95,rxn_6612,27.913,23.675,4.238
97,rxn_7236,28.615,36.9,-8.285
102,rxn_7911,33.615,77.436,-43.821
