,Name,wb97x-DFT-forward,wb97x-DFT-reverse,wb97x-DFT-reaction
0,rxn_33,21.634,62.059,-40.425
1,rxn_365,35.454,70.669,-35.214
4,rxn_632,22.774,62.079,-39.306
11,rxn_853,30.218,35.995,-5.776
13,rxn_1017,35.432,38.746,-3.314
14,rxn_1024,23.119,34.946,-11.826
16,rxn_1093,32.128,37.877,-5.748
17,rxn_1181,26.059,36.783,-10.725
20,rxn_1285,29.98,43.122,-13.142
23,rxn_1394,25.004,34.835,-9.831
24,rxn_1424,31.004,37.849,-6.844
25,rxn_1441,35.609,40.488,-4.879
26,rxn_1466,14.857,59.535,-44.678
27,rxn_1479,25.962,63.338,-37.376
33,rxn_1708,23.846,55.876,-32.03
35,rxn_1779,22.394,53.876,-31.482
36,rxn_1814,18.013,58.136,-40.123
39,rxn_2012,20.975,56.918,-35.943
40,rxn_2211,28.131,64.713,-36.582
42,rxn_2310,24.501,57.999,-33.498
43,rxn_2334,21.534,60.387,-38.853
45,rxn_2482,20.591,58.971,-38.381
46,rxn_2530,22.494,60.342,-37.848
50,rxn_2890,20.119,58.567,-38.448
54,rxn_3225,17.953,51.198,-33.245
56,rxn_3483,25.067,46.889,-21.822
57,rxn_3536,24.041,47.993,-23.951
61,rxn_4392,12.762,38.44,-25.678
62,rxn_4581,27.968,49.244,-21.277
64,rxn_5245,43.121,45.137,-2.016
65,rxn_5345,43.963,48.359,-4.396
66,rxn_5374,41.92,47.172,-5.252
69,rxn_5534,45.046,44.618,0.428
74,rxn_5751,34.604,49.231,-14.627
79,rxn_5956,44.451,65.781,-21.33
83,rxn_6105,42.429,53.656,-11.226
90,rxn_6322,67.382,66.453,0.929
94,rxn_6583,51.932,44.091,7.842
95,rxn_6612,30.154,23.151,7.003
97,rxn_7236,32.444,37.929,-5.484
102,rxn_7911,39.053,79.088,-40.034
