,Name,b2-plyp-DFT-forward,b2-plyp-DFT-reverse,b2-plyp-DFT-reaction
0,rxn_33,17.755,45.992,-28.236
1,rxn_365,30.912,54.192,-23.28
4,rxn_632,18.578,47.16,-28.583
11,rxn_853,28.182,24.629,3.553
13,rxn_1017,33.451,27.816,5.635
14,rxn_1024,20.694,24.32,-3.627
16,rxn_1093,30.318,26.587,3.731
17,rxn_1181,23.56,26.253,-2.693
20,rxn_1285,27.688,32.907,-5.22
23,rxn_1394,22.619,23.447,-0.828
24,rxn_1424,29.371,26.656,2.716
25,rxn_1441,33.226,29.685,3.541
26,rxn_1466,11.462,49.389,-37.927
27,rxn_1479,23.252,53.416,-30.164
33,rxn_1708,18.193,40.433,-22.24
35,rxn_1779,16.792,38.588,-21.797
36,rxn_1814,13.887,45.079,-31.192
39,rxn_2012,16.302,43.426,-27.124
40,rxn_2211,23.761,51.285,-27.524
42,rxn_2310,19.85,46.612,-26.762
43,rxn_2334,16.961,47.988,-31.027
45,rxn_2482,16.461,47.16,-30.699
46,rxn_2530,17.874,47.928,-30.054
50,rxn_2890,15.337,46.296,-30.959
54,rxn_3225,16.615,39.821,-23.206
56,rxn_3483,24.803,35.785,-10.982
57,rxn_3536,23.206,35.365,-12.159
61,rxn_4392,9.521,24.916,-15.395
62,rxn_4581,26.816,37.212,-10.396
64,rxn_5245,31.001,32.636,-1.635
65,rxn_5345,32.161,36.304,-4.143
66,rxn_5374,31.044,34.88,-3.836
69,rxn_5534,36.744,35.325,1.419
74,rxn_5751,24.363,36.674,-12.311
79,rxn_5956,34.786,54.065,-19.279
83,rxn_6105,33.373,41.44,-8.067
90,rxn_6322,59.896,51.259,8.637
94,rxn_6583,48.086,30.704,17.383
95,rxn_6612,28.414,15.495,12.919
97,rxn_7236,29.623,26.747,2.876
102,rxn_7911,33.56,66.632,-33.072
