,Name,b2k-plyp-DFT-forward,b2k-plyp-DFT-reverse,b2k-plyp-DFT-reaction
0,rxn_33,12.926,49.889,-36.964
1,rxn_365,27.706,58.633,-30.927
4,rxn_632,13.521,50.448,-36.927
11,rxn_853,24.353,27.301,-2.948
13,rxn_1017,28.932,30.783,-1.851
14,rxn_1024,18.239,27.301,-9.062
16,rxn_1093,25.624,29.75,-4.126
17,rxn_1181,21.207,29.148,-7.942
20,rxn_1285,25.443,35.985,-10.542
23,rxn_1394,19.761,26.733,-6.972
24,rxn_1424,24.937,29.814,-4.877
25,rxn_1441,29.54,32.895,-3.355
26,rxn_1466,7.97,50.896,-42.926
27,rxn_1479,19.007,55.822,-36.814
33,rxn_1708,14.968,44.323,-29.356
35,rxn_1779,13.481,42.315,-28.835
36,rxn_1814,11.824,48.847,-37.024
39,rxn_2012,13.508,47.081,-33.573
40,rxn_2211,21.645,55.323,-33.678
42,rxn_2310,16.925,51.167,-34.243
43,rxn_2334,12.818,51.279,-38.462
45,rxn_2482,12.196,50.251,-38.055
46,rxn_2530,13.479,51.285,-37.806
50,rxn_2890,11.763,49.762,-37.999
54,rxn_3225,13.291,43.677,-30.386
56,rxn_3483,20.724,39.603,-18.878
57,rxn_3536,19.848,39.901,-20.053
61,rxn_4392,9.802,31.276,-21.475
62,rxn_4581,23.758,43.431,-19.672
64,rxn_5245,32.748,33.46,-0.712
65,rxn_5345,33.749,37.233,-3.485
66,rxn_5374,32.785,35.619,-2.833
69,rxn_5534,37.635,35.199,2.436
74,rxn_5751,25.76,39.385,-13.625
79,rxn_5956,38.061,58.117,-20.056
83,rxn_6105,35.424,45.19,-9.767
90,rxn_6322,60.714,54.389,6.326
94,rxn_6583,47.292,34.819,12.473
95,rxn_6612,27.997,18.849,9.148
97,rxn_7236,28.874,30.336,-1.462
102,rxn_7911,32.435,70.047,-37.612
