,Name,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction
0,rxn_33,30.678,34.811,-4.133
1,rxn_365,39.129,41.534,-2.405
4,rxn_632,32.043,37.467,-5.424
11,rxn_853,37.818,16.562,21.256
13,rxn_1017,45.447,19.028,26.419
14,rxn_1024,26.58,15.602,10.978
16,rxn_1093,42.755,17.418,25.337
17,rxn_1181,29.098,17.749,11.348
20,rxn_1285,33.15,23.844,9.306
23,rxn_1394,29.793,13.638,16.155
24,rxn_1424,41.059,17.482,23.578
25,rxn_1441,43.015,20.276,22.739
26,rxn_1466,20.178,44.161,-23.983
27,rxn_1479,34.055,45.455,-11.401
33,rxn_1708,26.098,29.389,-3.291
35,rxn_1779,24.972,27.975,-3.002
36,rxn_1814,18.777,34.696,-15.919
39,rxn_2012,23.215,33.131,-9.917
40,rxn_2211,28.726,39.812,-11.086
42,rxn_2310,28.613,34.83,-6.217
43,rxn_2334,27.714,38.523,-10.808
45,rxn_2482,27.641,38.315,-10.674
46,rxn_2530,29.356,38.226,-8.869
50,rxn_2890,24.404,36.144,-11.74
54,rxn_3225,25.828,29.778,-3.949
56,rxn_3483,35.921,25.946,9.975
57,rxn_3536,32.01,23.313,8.697
61,rxn_4392,9.98,10.169,-0.19
62,rxn_4581,37.536,22.438,15.098
64,rxn_5245,25.582,29.873,-4.291
65,rxn_5345,27.007,33.298,-6.291
66,rxn_5374,25.507,32.33,-6.823
69,rxn_5534,33.685,35.636,-1.95
74,rxn_5751,20.916,29.454,-8.538
79,rxn_5956,27.436,44.118,-16.682
83,rxn_6105,29.122,32.166,-3.044
90,rxn_6322,57.2,43.264,13.936
94,rxn_6583,50.698,20.747,29.952
95,rxn_6612,29.86,6.738,23.122
97,rxn_7236,31.532,17.832,13.7
102,rxn_7911,36.0,56.917,-20.917
