,Name,m06l-DFT-forward,m06l-DFT-reverse,m06l-DFT-reaction
0,rxn_33,14.431,42.737,-28.306
1,rxn_365,27.918,54.086,-26.169
4,rxn_632,14.166,42.997,-28.831
11,rxn_853,29.05,23.416,5.634
13,rxn_1017,30.359,26.469,3.89
14,rxn_1024,19.609,23.033,-3.424
16,rxn_1093,25.878,24.944,0.934
17,rxn_1181,23.32,25.328,-2.008
20,rxn_1285,27.524,32.05,-4.526
23,rxn_1394,22.334,21.689,0.645
24,rxn_1424,25.103,24.651,0.452
25,rxn_1441,30.223,27.808,2.416
26,rxn_1466,7.854,51.228,-43.374
27,rxn_1479,19.485,56.634,-37.149
33,rxn_1708,15.731,37.059,-21.328
35,rxn_1779,15.466,35.467,-20.001
36,rxn_1814,13.442,43.845,-30.403
39,rxn_2012,14.036,40.095,-26.059
40,rxn_2211,22.621,49.231,-26.61
42,rxn_2310,13.313,43.404,-30.09
43,rxn_2334,15.026,47.256,-32.229
45,rxn_2482,14.68,46.28,-31.6
46,rxn_2530,16.07,48.097,-32.027
50,rxn_2890,12.734,42.576,-29.842
54,rxn_3225,14.45,36.006,-21.556
56,rxn_3483,23.647,32.725,-9.078
57,rxn_3536,23.811,32.882,-9.071
61,rxn_4392,5.533,14.643,-9.11
62,rxn_4581,17.34,30.316,-12.976
64,rxn_5245,26.93,31.755,-4.825
65,rxn_5345,30.956,37.457,-6.501
66,rxn_5374,28.643,34.186,-5.544
69,rxn_5534,35.063,36.101,-1.037
74,rxn_5751,20.269,32.331,-12.062
79,rxn_5956,27.976,47.58,-19.604
83,rxn_6105,25.186,37.28,-12.095
90,rxn_6322,54.22,54.793,-0.572
94,rxn_6583,42.809,25.744,17.066
95,rxn_6612,23.712,11.769,11.943
97,rxn_7236,29.313,27.788,1.526
102,rxn_7911,31.057,65.034,-33.976
