,Name,wb2-plyp18-DFT-forward,wb2-plyp18-DFT-reverse,wb2-plyp18-DFT-reaction
0,rxn_33,7.914,53.001,-45.087
1,rxn_365,23.242,63.416,-40.174
4,rxn_632,8.473,53.306,-44.833
11,rxn_853,20.385,29.791,-9.406
13,rxn_1017,23.391,32.881,-9.49
14,rxn_1024,14.419,29.363,-14.943
16,rxn_1093,19.826,32.434,-12.608
17,rxn_1181,17.473,31.178,-13.705
20,rxn_1285,21.567,37.839,-16.272
23,rxn_1394,15.742,28.994,-13.252
24,rxn_1424,19.209,32.34,-13.13
25,rxn_1441,24.416,35.104,-10.689
26,rxn_1466,3.027,53.496,-50.469
27,rxn_1479,14.226,59.659,-45.433
33,rxn_1708,11.84,48.001,-36.16
35,rxn_1779,10.45,46.046,-35.597
36,rxn_1814,8.389,51.804,-43.415
39,rxn_2012,9.399,49.58,-40.181
40,rxn_2211,18.039,58.182,-40.142
42,rxn_2310,12.091,54.82,-42.729
43,rxn_2334,8.595,54.809,-46.215
45,rxn_2482,7.813,53.565,-45.751
46,rxn_2530,9.318,55.118,-45.8
50,rxn_2890,8.025,53.187,-45.162
54,rxn_3225,7.96,46.05,-38.089
56,rxn_3483,15.4,41.527,-26.128
57,rxn_3536,14.922,42.628,-27.706
61,rxn_4392,3.928,33.52,-29.592
62,rxn_4581,17.66,46.332,-28.672
64,rxn_5245,33.697,36.129,-2.432
65,rxn_5345,34.834,39.326,-4.492
66,rxn_5374,33.387,37.757,-4.37
69,rxn_5534,37.161,36.136,1.025
74,rxn_5751,27.322,40.043,-12.721
79,rxn_5956,39.226,58.447,-19.22
83,rxn_6105,36.063,46.193,-10.13
90,rxn_6322,61.762,57.148,4.614
94,rxn_6583,45.987,37.054,8.934
95,rxn_6612,25.971,20.412,5.559
97,rxn_7236,26.714,32.601,-5.888
102,rxn_7911,29.934,72.318,-42.384
